sortie,parametre,R2,p_anova,p_kruskal,n_groupes,n
N_lixi,Dose_F2_2,0.0005213259660054865,0.15686221218293378,0.17861724016245628,4,10000
N_lixi,type_f3_2,0.000437342014231493,0.2239164664579228,0.21457821782710526,4,10000
N_lixi,type_f3_1,0.00021282320854108116,0.5463264880859328,0.5243506636223927,4,10000
N_lixi,Dose_F2_1,0.00020917936576535004,0.553678839940799,0.45239086585061017,4,10000
N_lixi,Dose_F3_2,0.0001130992524769729,0.7696781164250677,0.8419598780755957,4,10000
N_lixi,type_f1_1,2.1459320905928206e-05,0.6432305920214084,0.6038362848873835,2,10000
dCorg,n_ferti,0.42320519297613873,0.0,0.0,4,10000
dCorg,Jours_F1_F2,0.2658750865350534,0.0,0.0,4,10000
dCorg,Dose_F2_1,0.2607431477078644,0.0,0.0,4,10000
dCorg,Jours_semis_F1,0.25425394098785714,0.0,0.0,4,10000
dCorg,Jours_op_recolte,0.23558974003768346,0.0,0.0,4,10000
dCorg,nb_f1,0.1743174095042572,0.0,0.0,4,10000
dCorg,type_f1_2,0.15497750512844408,0.0,0.0,4,10000
dCorg,Dose_F1_1,0.12633829517902642,1.935375905796479e-292,0.0,4,10000
dCorg,type_f2_1,0.10429567960970695,2.139967910541455e-238,1.7077974578773012e-229,4,10000
dCorg,type_f1_1,0.08300838355563367,2.024853910822269e-190,1.9382717169644004e-197,2,10000
dCorg,prepa_2,0.07890882120787544,1.003962246913685e-180,5.3965772912569506e-201,2,10000
dCorg,nb_f2,0.06195309044665783,4.527374305422841e-141,1.34805201275216e-140,2,10000
dCorg,Jours_F2_F3,0.05544740619654041,2.8499483551196717e-123,1.9826190913377837e-121,4,10000
dCorg,type_f3_1,0.05454158161627299,3.403154255609109e-121,1.3069336008337986e-129,4,10000
dCorg,Dose_F1_2,0.05382449059988869,1.4952275540588402e-119,5.957510223836612e-132,4,10000
dCorg,Dose_F3_1,0.051465408680473265,3.7170868606899956e-114,3.506461515504054e-114,4,10000
dCorg,nb_f3,0.04884916751567278,3.4484241139025405e-108,1.26269699386536e-122,4,10000
dCorg,type_f3_2,0.04457708478281194,1.758915961531262e-98,4.672775609505014e-98,4,10000
dCorg,Dose_F2_2,0.03207219267741473,2.508436006300987e-70,1.4474829950306307e-74,4,10000
dCorg,Dose_F3_2,0.010462434114444755,1.2198859326691534e-22,1.8702626226094657e-24,4,10000
dCorg,Jours_av_PREPA,0.0020860202721158117,0.00011177694439474845,2.9889917667810935e-23,4,10000
dCorg,Jour_Semis,0.0017059192005366545,0.0006844145854759492,2.81802051172635e-17,4,10000
dCorg,has_prepa,0.0009290819212764822,0.0023005448259362828,1.1794939932542086e-21,2,10000
dCorg,prepa_1,0.0009044447621461536,0.02869366898566923,1.5057515098117285e-13,4,10000
dCorg,type_f2_2,0.00041328173533924966,0.24753567392520515,1.999950902112482e-05,4,10000
dCorg,nb_prepa,0.0003976479059420573,0.046145489708451976,3.786999700072706e-09,2,10000
rdt,n_ferti,0.5348515124970956,0.0,0.0,4,10000
rdt,Dose_F2_1,0.241176329916017,0.0,0.0,4,10000
rdt,Jours_F1_F2,0.23861125570969827,0.0,0.0,4,10000
rdt,nb_f1,0.23410136519551933,0.0,0.0,4,10000
rdt,Jours_semis_F1,0.17783738755142992,0.0,2.405004571592438e-292,4,10000
rdt,Dose_F1_1,0.1738317433880853,0.0,6.415733937332103e-307,4,10000
rdt,type_f1_2,0.14636867857451924,0.0,9.681264682370974e-242,4,10000
rdt,prepa_2,0.11305926778100868,7.94484186816584e-263,1.660005177563978e-205,2,10000
rdt,type_f1_1,0.07648464769641565,5.185800391591658e-175,8.290420595137756e-126,2,10000
rdt,Dose_F1_2,0.07288877978217993,1.1446938273466048e-163,1.0870548471726261e-129,4,10000
rdt,nb_f3,0.06919672977251351,4.723871701643834e-155,8.785134420462818e-122,4,10000
rdt,type_f2_1,0.06791088440064624,4.642141528568685e-152,1.436579285187543e-104,4,10000
rdt,type_f3_1,0.051899758826946155,3.7830016820430422e-115,2.9115600636105845e-82,4,10000
rdt,Jours_op_recolte,0.0516975056419608,1.096442620752339e-114,3.102480703217859e-80,4,10000
rdt,nb_f2,0.03975309160648483,3.415461602748837e-90,5.856731444313974e-63,2,10000
rdt,Jours_F2_F3,0.034992875460723924,7.22114469055689e-77,1.4636959082117232e-53,4,10000
rdt,Dose_F3_1,0.03459746105491866,5.56392564922789e-76,5.039774093359901e-53,4,10000
rdt,type_f3_2,0.031385212286896044,8.605100388247099e-69,2.1521323269823286e-49,4,10000
rdt,Jours_av_PREPA,0.029925819377825246,1.5575007165909319e-65,4.922272604922005e-116,4,10000
rdt,Dose_F2_2,0.027272425913891795,1.2631114723893192e-59,1.2111733027489789e-42,4,10000
rdt,has_prepa,0.022193532504792376,1.0028619455630147e-50,5.977622906696871e-89,2,10000
rdt,Jour_Semis,0.016616468786947138,4.404654452877173e-36,6.114303128911398e-35,4,10000
rdt,prepa_1,0.01391801598994264,3.581086872444258e-30,5.5903839834802355e-55,4,10000
rdt,Dose_F3_2,0.00770590574034192,1.146935991364243e-16,5.88423747419252e-12,4,10000
rdt,nb_prepa,0.005729778297552815,3.4699855449067004e-14,2.0707379437085856e-25,2,10000
rdt,type_f2_2,0.004285077154656731,2.549401114887058e-09,6.115130797683043e-17,4,10000
