sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,prepa_1,Jours_semis_F1,0.0016352541499444762,0.0565253935119675,0.05489013936202303,10000,16
N_lixi,type_f1_1,Dose_F1_2,0.0016201652447890291,0.0039131606964663,0.002292995451677271,10000,8
N_lixi,Dose_F2_1,Dose_F3_2,0.0016087320258989513,0.001820885577509812,0.0002121535516108608,10000,15
N_lixi,has_prepa,nb_f1,0.0015419316305909092,0.04046228008130481,0.038920348450713904,10000,8
N_lixi,Jours_av_PREPA,Dose_F3_1,0.0015084812160802707,0.04741290102170881,0.04590441980562854,10000,16
N_lixi,type_f2_1,Dose_F3_2,0.001491523914237125,0.0034858470650434015,0.0019943231508062764,10000,16
N_lixi,Dose_F2_1,Dose_F2_2,0.0014636419136254686,0.001891602528613312,0.00042796061498784344,10000,14
N_lixi,has_prepa,Jours_op_recolte,0.001463222547535059,0.11094248143200502,0.10947925888446997,10000,8
N_lixi,type_f2_1,type_f3_1,0.001452934170105391,0.0038369619631845042,0.002384027793079113,10000,16
N_lixi,nb_f3,type_f3_2,0.001452418391977961,0.004297660411906601,0.00284524201992864,10000,16
N_lixi,nb_f3,Dose_F1_1,0.0014307648202523948,0.00997303975181596,0.008542274931563565,10000,16
N_lixi,type_f2_2,Dose_F2_1,0.0014078663575689543,0.007924673440003471,0.006516807082434517,10000,16
N_lixi,type_f3_1,Dose_F3_1,0.0013997649137252877,0.002919641295993869,0.0015198763822685812,10000,16
N_lixi,type_f1_2,type_f3_2,0.0013880969286617084,0.0028564740302149394,0.001468377101553231,10000,16
N_lixi,Jours_av_PREPA,Dose_F1_1,0.0013843746863720918,0.05362918709445785,0.05224481240808576,10000,16
N_lixi,nb_f3,Dose_F3_1,0.0013712720269253298,0.005103588578277973,0.0037323165513526435,10000,16
N_lixi,prepa_1,Dose_F1_1,0.0013707525998301051,0.029263554847661855,0.02789280224783175,10000,16
N_lixi,nb_f3,Dose_F1_2,0.0013667069580759472,0.0033879685508148016,0.0020212615927388544,10000,10
