point_idx,sim_idx,parcelle,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,N_lixi,DeltaCorg,Yield
9059,90,beauce_5_sa_059,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,83.13530808991362,-18.79351996079767,314.6055912765789,309.97210663866264,281.5,340.00885276681646,90.92066867070992,55.0,35.89951624926158,55.0,55.0,55.0,23.58,-618.63,4.51
9060,90,beauce_5_sa_060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44027981175279,-24.0,214.5,266.5,281.5,373.6432031755476,55.0,55.0,55.0,55.0,55.0,55.0,26.99,-612.27,3.88
9061,90,beauce_5_sa_061,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,94.928398255897,-27.49189077649724,185.34758957147707,266.5,281.5,359.25817574003594,24.0466103722583,48.26143659918449,55.0,55.0,55.0,55.0,22.69,-608.89,4.39
9062,90,beauce_5_sa_062,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.21471856583585,-25.87321074547088,187.3601375457982,266.5,281.5,333.86429103268887,33.132014484779376,55.0,55.0,55.0,55.0,55.0,26.21,-623.19,4.65
9063,90,beauce_5_sa_063,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,61.49269729042528,-12.883074759749888,196.89334513606963,259.36410406914405,302.7319581357433,334.71779443045125,75.98131271744259,17.687883337046017,21.571238591971873,55.0,24.297556071103124,31.50063255655384,20.87,-609.93,4.16
9064,90,beauce_5_sa_064,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,61.3413954392213,-24.0,225.36450115451115,213.84870302255004,280.744206062702,358.7850212176509,51.87623836245699,97.2551453820596,34.29847581841764,36.90363535726009,62.42028141207528,55.0,23.58,-607.64,4.11
9065,90,beauce_5_sa_065,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,92.6934075644285,-4.019064369281274,221.29350437545557,266.5,281.5,373.183423806324,94.5489952160293,55.0,55.0,55.0,55.0,55.0,27.28,-633.42,4.29
9066,90,beauce_5_sa_066,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.97963360048308,-24.0,147.64576418606953,266.5,281.5,339.91792383431533,60.29654912254326,55.0,55.0,55.0,55.0,55.0,21.9,-599.57,3.99
9067,90,beauce_5_sa_067,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.66840435586052,-24.0,227.49884460613129,266.5,281.5,334.8236083671856,45.28724112688068,55.0,55.0,55.0,55.0,55.0,29.94,-635.09,4.59
9068,90,beauce_5_sa_068,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.85505337045863,-24.0,185.3099132698063,307.66547169492424,281.5,362.0901393668019,51.84172620283552,74.19132215208063,28.683121151595948,55.0,55.0,55.0,23.61,-607.79,4.0
