feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
1,0,51.0,-20.0,1.7,15.0,10.0,204.0,383.0,393.0,323.0,87.0,10.0,10.0,0,0,2.2673684210526317,-87.48473684210526,8.795555555555556,76,beauce_5_sa_076
2,2,101.0,-14.0,2.2,9.1,2.0,322.0,323.0,393.0,339.0,87.8,76.0,10.0,0,0,14.296315789473685,-6.857368421052629,8.748888888888889,77,beauce_5_sa_077
1,1,84.0,-39.0,3.9,23.9,10.0,236.0,383.0,393.0,358.0,83.2,10.0,10.0,0,0,1.0042105263157897,-23.60578947368421,8.673333333333334,78,beauce_5_sa_078
0,1,66.0,-10.0,2.1,20.1,10.0,259.0,383.0,393.0,325.0,10.0,10.0,10.0,0,0,1.2889473684210528,-90.65526315789474,5.158888888888889,79,beauce_5_sa_079
1,0,70.0,-20.0,2.0,15.0,10.0,276.0,383.0,393.0,358.0,92.8,10.0,10.0,0,0,5.851578947368421,-42.554736842105264,8.153333333333332,80,beauce_5_sa_080
1,2,90.0,-17.0,2.5,20.5,12.3,321.0,383.0,393.0,344.0,92.7,10.0,10.0,0,0,6.6763157894736835,-36.85421052631579,8.14,81,beauce_5_sa_081
2,1,48.0,-16.0,2.4,21.6,10.0,169.0,262.0,393.0,359.0,45.0,61.3,10.0,0,0,3.776842105263158,-59.49526315789474,8.764444444444443,82,beauce_5_sa_082
3,0,91.0,-20.0,2.9,15.0,10.0,124.0,271.0,293.0,336.0,65.3,36.9,33.8,0,0,8.24421052631579,-53.9278947368421,8.967777777777778,83,beauce_5_sa_083
1,2,76.0,-7.0,3.0,22.7,22.2,295.0,383.0,393.0,357.0,24.5,10.0,10.0,0,0,1.273157894736842,-95.40052631578946,6.554444444444445,84,beauce_5_sa_084
0,0,103.0,-20.0,1.2,15.0,10.0,259.0,383.0,393.0,335.0,10.0,10.0,10.0,0,0,2.4878947368421054,-102.39052631578949,5.132222222222222,85,beauce_5_sa_085
2,2,70.0,-13.0,2.6,15.2,15.3,163.0,279.0,393.0,352.0,31.4,40.3,10.0,0,0,2.0921052631578947,-47.52736842105263,8.301111111111112,86,beauce_5_sa_086
