sortie,parametre,median_ST,q25_ST,q75_ST,max_ST,n_regions,median_Q2,IQR_ST
rdt,nb_prepa,0.10554508161101886,0.04955266456274891,0.20285320608369184,0.2085751915771138,7,0.7812209183177664,0.1533005415209429
rdt,n_ferti,0.08307710071633773,0.042761273875104075,0.08736161170828752,0.13600617444633972,7,0.7812209183177664,0.04460033783318344
rdt,type_f3_2,0.07238251394494814,0.030450543739605554,0.07417395368373607,0.0994504902658403,7,0.7812209183177664,0.043723409944130515
rdt,prepa_2,0.06934400776562759,7.79781127826901e-06,0.07244673868500293,0.11332614706315292,7,0.7812209183177664,0.07243894087372466
rdt,type_f3_1,0.0058425758238277,0.004481271225652122,0.008460220632488259,0.020736530532641947,7,0.7812209183177664,0.003978949406836137
rdt,Delta_PREPA_Semis,0.0033394995821520806,0.0005742453150245704,0.004779297203613317,0.11332614706315292,7,0.7812209183177664,0.004205051888588747
rdt,prepa_1,0.0032482228780980195,3.333952922604115e-05,0.003521059890419386,0.11332614706314609,7,0.7812209183177664,0.0034877203611933445
rdt,Date_Recolte,0.0018518896282420322,0.0010983615831594907,0.0037230312052590644,0.0077489027800205085,7,0.7812209183177664,0.0026246696220995737
rdt,Date_Semis,0.0015420372434578721,0.0009814253237974582,0.004244613875774602,0.006436876508380365,7,0.7812209183177664,0.0032631885519771434
rdt,Dose_F1_2,0.001405454308942961,0.00019641753324587308,0.07573876135017672,0.8377449764809224,7,0.7812209183177664,0.07554234381693085
rdt,Dose_F2_2,0.00023870431151758905,0.00010734726808732518,0.26364780965573104,0.9403175626778746,7,0.7812209183177664,0.2635404623876437
rdt,Dose_F3_2,0.00019379898168278293,7.705872552966191e-05,0.000360100652737014,0.00046035769047178104,7,0.7812209183177664,0.00028304192720735206
rdt,Dose_F3_1,6.479534820297113e-05,1.7310856486430215e-05,0.00011944175213899071,0.0002706373091795665,7,0.7812209183177664,0.0001021308956525605
rdt,Date_F3,5.269607722824998e-05,1.4271281718377457e-05,8.911346337559554e-05,0.00017254076922410032,7,0.7812209183177664,7.484218165721809e-05
rdt,Date_F2,2.7341379617831295e-05,8.105583161372726e-07,7.08841103440013e-05,0.00013075972766398062,7,0.7812209183177664,7.007355202786403e-05
rdt,Dose_F2_1,2.335731625895826e-05,8.31779279808342e-06,5.8744705206945715e-05,0.00012714048806989887,7,0.7812209183177664,5.04269124088623e-05
rdt,Date_F1,1.019593270955875e-05,1.9692268627050322e-07,3.79465606157179e-05,0.00014428676932032517,7,0.7812209183177664,3.77496379294474e-05
rdt,Dose_F1_1,8.878291988621806e-06,2.897407933296128e-07,1.4915439590359267e-05,0.0002829624731056934,7,0.7812209183177664,1.4625698797029654e-05
rdt,type_f2_1,2.9440068539997147e-06,0.0,3.370482779600602e-05,8.209326368647031e-05,7,0.7812209183177664,3.370482779600602e-05
rdt,type_f1_1,6.527516072345223e-07,0.0,8.421406951553035e-06,0.00013366945493934729,7,0.7812209183177664,8.421406951553035e-06
rdt,type_f2_2,5.854870263061307e-07,0.0,2.09082771737028e-05,0.04376272031790098,7,0.7812209183177664,2.09082771737028e-05
rdt,type_f1_2,0.0,0.0,2.81274575667781e-05,3.938579705458232e-05,7,0.7812209183177664,2.81274575667781e-05
