parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
Date_Recolte,0.04106659686056295,0.04128238320559294,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F1_1,0.0,1.2680620935095024e-05,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F1_2,0.010849844173976223,0.01460317396486113,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F2_1,0.0,2.5383916497290976e-05,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F2_2,4.32354469322852e-06,2.3725321640466035e-05,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F3_1,0.0,3.385062745164107e-05,dCorg,R04,1480,0.9909758402276834,ok,0.148
Dose_F3_2,1.781977169898392e-06,2.736615175392844e-05,dCorg,R04,1480,0.9909758402276834,ok,0.148
n_ferti,0.03351332933216775,0.07571013622595228,dCorg,R05,1083,0.9937341524954326,ok,0.1083
has_prepa,0.15142825426958706,0.19329891637992533,dCorg,R05,1083,0.9937341524954326,ok,0.1083
nb_prepa,0.11791417791050936,0.18207161240230837,dCorg,R05,1083,0.9937341524954326,ok,0.1083
prepa_1,0.003756533798980581,0.005011385450741554,dCorg,R05,1083,0.9937341524954326,ok,0.1083
nb_f1,0.11759463208768801,0.11759463208768801,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f1_1,0.0,3.2513250449301556e-06,dCorg,R05,1083,0.9937341524954326,ok,0.1083
nb_f2,0.11759463208768801,0.12486922664080537,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f2_1,0.0,0.0,dCorg,R05,1083,0.9937341524954326,ok,0.1083
nb_f3,0.11791764195468392,0.1818131884740995,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f3_1,0.003817912935448278,0.005112033953297922,dCorg,R05,1083,0.9937341524954326,ok,0.1083
prepa_2,0.019803241923417807,0.06466023932785793,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f1_2,0.0,4.562304704230084e-06,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f2_2,0.0,0.0,dCorg,R05,1083,0.9937341524954326,ok,0.1083
type_f3_2,0.02012748703178075,0.06425055244630307,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Date_Semis,0.07337494324862415,0.07351228359866704,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Delta_PREPA_Semis,0.00022342097615565617,0.0007361130899929001,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Date_F1,0.0,2.8819241085451102e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Date_F2,3.0178334719879914e-05,5.5258249575067615e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Date_F3,0.0,1.3644570466894922e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Date_Recolte,0.04037271812571034,0.04043159205930012,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F1_1,0.0,1.5143804986703794e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F1_2,0.0,5.744370542347304e-06,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F2_1,0.0,1.6520641511472776e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F2_2,0.02293807414184367,0.030239802239286465,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F3_1,0.0,3.419811243648965e-05,dCorg,R05,1083,0.9937341524954326,ok,0.1083
Dose_F3_2,2.893713902640782e-07,0.00010367547302559844,dCorg,R05,1083,0.9937341524954326,ok,0.1083
n_ferti,0.03521435266290663,0.07659588363946675,dCorg,R06,954,0.9606566975333187,ok,0.0954
has_prepa,0.15544507457158063,0.1972158287406844,dCorg,R06,954,0.9606566975333187,ok,0.0954
nb_prepa,0.11992056835693585,0.1853947274534945,dCorg,R06,954,0.9606566975333187,ok,0.0954
prepa_1,0.0034942516609685796,0.004645766983060198,dCorg,R06,954,0.9606566975333187,ok,0.0954
nb_f1,0.1327123424939198,0.13697201104329396,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f1_1,0.0,2.666342895742771e-05,dCorg,R06,954,0.9606566975333187,ok,0.0954
nb_f2,0.11941918542279886,0.11941918542279886,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f2_1,0.0,6.437537504874543e-05,dCorg,R06,954,0.9606566975333187,ok,0.0954
nb_f3,0.11982416310515964,0.1858918860638886,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f3_1,0.0036217336922082684,0.004835943164462053,dCorg,R06,954,0.9606566975333187,ok,0.0954
prepa_2,0.018711207707028783,0.06473854976483413,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f1_2,0.01319973807920542,0.017431229584167936,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f2_2,0.0,0.0,dCorg,R06,954,0.9606566975333187,ok,0.0954
type_f3_2,0.019066250198597944,0.06520012431255383,dCorg,R06,954,0.9606566975333187,ok,0.0954
Date_Semis,0.06842590597850286,0.07039300687725097,dCorg,R06,954,0.9606566975333187,ok,0.0954
Delta_PREPA_Semis,0.0010529510156923696,0.0040004416230344335,dCorg,R06,954,0.9606566975333187,ok,0.0954
Date_F1,0.0,4.773848443910017e-05,dCorg,R06,954,0.9606566975333187,ok,0.0954
Date_F2,0.00011584372049149043,0.000351089228441053,dCorg,R06,954,0.9606566975333187,ok,0.0954
Date_F3,0.0,3.559703660704185e-05,dCorg,R06,954,0.9606566975333187,ok,0.0954
Date_Recolte,0.027212977630211944,0.02817332593807801,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F1_1,0.0,6.592113442127064e-05,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F1_2,0.0,0.0001260222173611748,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F2_1,0.0,0.00010876574871055392,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F2_2,0.0,0.00021818503006794694,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F3_1,0.0,0.00015749962942703688,dCorg,R06,954,0.9606566975333187,ok,0.0954
Dose_F3_2,7.626997596453209e-06,0.0004460587816446016,dCorg,R06,954,0.9606566975333187,ok,0.0954
n_ferti,0.036145031051064744,0.07995258108431826,dCorg,R07,812,0.993599548025942,ok,0.0812
has_prepa,0.15796432959988618,0.20184961027112994,dCorg,R07,812,0.993599548025942,ok,0.0812
nb_prepa,0.12319108469461565,0.19068470959580092,dCorg,R07,812,0.993599548025942,ok,0.0812
prepa_1,0.0038821931338507533,0.005347989427458877,dCorg,R07,812,0.993599548025942,ok,0.0812
nb_f1,0.12286150954075946,0.12287477336160314,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f1_1,0.0,0.0,dCorg,R07,812,0.993599548025942,ok,0.0812
nb_f2,0.12286150954075946,0.12286775335965532,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f2_1,0.0,3.3430755452086584e-06,dCorg,R07,812,0.993599548025942,ok,0.0812
nb_f3,0.12329433488335936,0.19011718428627475,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f3_1,0.0035334088075919604,0.004989052079574783,dCorg,R07,812,0.993599548025942,ok,0.0812
prepa_2,0.02065744011230542,0.06739579076770039,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f1_2,0.0,0.0,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f2_2,0.0,0.0,dCorg,R07,812,0.993599548025942,ok,0.0812
type_f3_2,0.020165593455732524,0.06664471668266715,dCorg,R07,812,0.993599548025942,ok,0.0812
Date_Semis,0.07029086192404793,0.0704136046930025,dCorg,R07,812,0.993599548025942,ok,0.0812
Delta_PREPA_Semis,0.00032382629369782093,0.0008529197364794558,dCorg,R07,812,0.993599548025942,ok,0.0812
Date_F1,0.0,0.0,dCorg,R07,812,0.993599548025942,ok,0.0812
Date_F2,0.0,1.8654283291767016e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Date_F3,0.0,1.3973930795972172e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Date_Recolte,0.03514428196337257,0.03520783216686073,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F1_1,0.0,4.984582455633748e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F1_2,0.0,5.2720180403576006e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F2_1,0.0,1.632272339806951e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F2_2,0.0,0.00012140894687620417,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F3_1,0.0,2.0678656767889802e-05,dCorg,R07,812,0.993599548025942,ok,0.0812
Dose_F3_2,5.834585182009414e-07,0.00018854640627743004,dCorg,R07,812,0.993599548025942,ok,0.0812
n_ferti,0.032858049476462446,0.07358795061674134,dCorg,R08,788,0.9895166096851895,ok,0.0788
has_prepa,0.14687448753068327,0.18734850165786748,dCorg,R08,788,0.9895166096851895,ok,0.0788
nb_prepa,0.11491017238499483,0.17866318653722849,dCorg,R08,788,0.9895166096851895,ok,0.0788
prepa_1,0.003931738842297596,0.005137562678908161,dCorg,R08,788,0.9895166096851895,ok,0.0788
nb_f1,0.11464627846371792,0.11464627846371792,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f1_1,0.0,0.0,dCorg,R08,788,0.9895166096851895,ok,0.0788
nb_f2,0.12786643802003936,0.13227972484609585,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f2_1,0.0,1.5678581947688418e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
nb_f3,0.11495464188446998,0.17726921208186636,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f3_1,0.0036517349797646633,0.004945498610663816,dCorg,R08,788,0.9895166096851895,ok,0.0788
prepa_2,0.019342676260901283,0.06327301253928022,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f1_2,0.0,0.0,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f2_2,0.011874569775372055,0.0164136389340488,dCorg,R08,788,0.9895166096851895,ok,0.0788
type_f3_2,0.019478591548137424,0.06293464321319461,dCorg,R08,788,0.9895166096851895,ok,0.0788
Date_Semis,0.07593821369273412,0.0760589241219077,dCorg,R08,788,0.9895166096851895,ok,0.0788
Delta_PREPA_Semis,0.00029211535654052065,0.0006809284504173207,dCorg,R08,788,0.9895166096851895,ok,0.0788
Date_F1,0.0,3.725179915455374e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Date_F2,1.8452895936711724e-05,0.00012184095644656358,dCorg,R08,788,0.9895166096851895,ok,0.0788
Date_F3,0.0,1.968533608615318e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Date_Recolte,0.05974260977893585,0.059830720053671044,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F1_1,0.0,1.5809658668500466e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F1_2,0.0,1.5008578652929876e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F2_1,1.301640611745524e-05,4.349557055490617e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F2_2,0.0,7.272164247847575e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F3_1,0.0,7.429631083788842e-05,dCorg,R08,788,0.9895166096851895,ok,0.0788
Dose_F3_2,1.798588453759737e-05,0.00010265557791944198,dCorg,R08,788,0.9895166096851895,ok,0.0788
