,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
prepa_2,0.0005159736311153296,0.0,0.0,0.00047961846333333114,0.0005024695923929734,0.0010307103068422085,0.00030540332090056577,0.0007543005853263285,0.0001369477357219262,0.0006484169235871917,0.0,0.00041535272147419366,0.000477630557715103,0.0004615057303352099,0.0010923786137055913,0.0005626833312729618,0.0009218377365088903,0.00046337883163738436,0.000364785121692468,0.0002994466185589628,0.0005976333333143069,0.00024848589975612345,2.9548364636644564e-05,2.699242324477602e-05,0.00024670631925005626,3.160727532658392e-05
type_f1_2,0.0008146586418493751,0.00041091296075834727,0.00012048648865470302,0.001098635577999385,0.0,0.0013814028784984167,0.0005266905766471153,0.0012010104598380034,0.00026421894490147313,0.00047491099386798297,0.00041535272147419366,0.0,0.0011765011349584853,0.0013765215059445834,0.0008898572498357016,0.00044442356358520563,0.0009039699021674563,0.00021852638383990097,0.00015092778709480115,0.0013864635950923132,0.000613364193535082,8.157954155518787e-05,0.0007838431849115368,0.0009483386559238083,0.00023082464206880537,0.00013283185362711336
type_f2_2,0.00010720949240627942,8.537644104522624e-05,0.00016357249139520302,0.001013308511245814,0.0003628027789968069,0.0006031790892735422,0.0,0.0006618556787312269,0.00037850843006004276,0.0005968091087757976,0.000477630557715103,0.0011765011349584853,0.0,0.001386162062516294,0.0007416825344630507,0.00018600479922104007,0.0008250319951220719,0.00037391206967729573,2.5943865726518744e-05,0.0010130512460122532,0.0005507364492239875,0.0009888521409066042,9.887503344285786e-05,0.00032839783336124917,7.65471068265855e-05,0.00023286905716946027
type_f3_2,0.0,0.00024964923553838503,7.503810459108529e-05,0.0003257202101767387,0.00037132383649940426,0.0006037135053156284,0.0004229771069088617,0.0009710361812973467,-1.1102230246251565e-16,0.0013009469232960758,0.0004615057303352099,0.0013765215059445834,0.001386162062516294,0.0,0.0003614246729803927,0.00035154921381919113,0.0009408636344087062,7.35475640533112e-05,0.00012231664202411174,0.0004764386213105265,0.001208149944751824,0.00014342550451851288,0.0004236253990123062,0.0008575642910930714,0.0007124226594532601,0.0006457882486097244
Date_Semis,0.0003045188020691647,0.003620457571322011,0.0008563582709679718,0.002837912206002602,0.0005776841791819143,0.0006090614842457764,0.0005136429214053218,0.0005561553424844323,0.00025615331930983753,0.0011425960065833962,0.0010923786137055913,0.0008898572498357016,0.0007416825344630507,0.0003614246729803927,0.0,0.011864786966113816,0.00035118528193578413,0.00011778662657591088,0.0002600245031351145,0.10168488971772616,0.0006507276688011432,0.00016507272559695974,0.00011411734113619953,5.8964373465641984e-05,0.0002626825890936768,4.955665463490799e-05
Delta_PREPA_Semis,0.0002433754619575179,1.1102230246251565e-16,0.00019973069297196666,0.0005608633269819085,0.0001690203708148985,0.0005468695464835305,0.00018852373140620937,0.0006788690085000049,0.00010714894923080642,0.0005107050384624001,0.0005626833312729618,0.00044442356358520563,0.00018600479922104007,0.00035154921381919113,0.011864786966113816,0.0,0.00023909132893140672,0.000437611759771972,0.00020800485031380322,0.0005603367451381125,0.0002794636722174282,7.699496608915002e-05,0.00041733763164986115,7.189538818974661e-05,1.347608593604832e-06,2.3697586246207436e-05
Date_F1,0.00018099577070840311,0.00018623265963835234,0.0003402180366882668,0.0012226121705418702,0.0002629439936899791,0.0014220301441325578,0.00012572757346529517,0.00023993663890453654,0.00032759378745517154,0.0005721032270148418,0.0009218377365088903,0.0009039699021674563,0.0008250319951220719,0.0009408636344087062,0.00035118528193578413,0.00023909132893140672,0.0,5.18574066198374e-05,0.00023148957886409693,0.0005273108355373646,0.0010102028514727968,0.0011367177799004313,0.00032452668233595716,0.00025459960022300443,0.00021801843055335723,0.000255378961696473
Date_F2,9.518503217553764e-05,5.116832026197393e-06,1.684893562337031e-06,0.00018765826473798874,4.5589865133144336e-05,0.00011440611187996108,7.069356399269644e-06,0.000577740743736288,1.6524749828494834e-06,3.579241932716304e-05,0.00046337883163738436,0.00021852638383990097,0.00037391206967729573,7.35475640533112e-05,0.00011778662657591088,0.000437611759771972,5.18574066198374e-05,0.0,9.447422044750464e-05,0.0005192538033085281,3.0749710659971896e-05,4.2732506766451905e-07,3.8533675723262384e-05,8.014163789704654e-06,1.1282367484599654e-05,0.00022048933717033758
Date_F3,-1.1102230246251565e-16,0.00015298228629856414,0.00015183562759779612,0.0004575616720189357,0.00022363074139342132,0.00060131930862517,5.784783036388852e-05,0.0003927285306174477,1.4104621841593001e-06,8.861059233766788e-05,0.000364785121692468,0.00015092778709480115,2.5943865726518744e-05,0.00012231664202411174,0.0002600245031351145,0.00020800485031380322,0.00023148957886409693,9.447422044750464e-05,0.0,0.0001709109195803249,0.0001236282613746864,0.0002627302795348285,0.00018319500684227386,6.217955927922958e-09,2.8370129845356473e-05,2.8333392249058065e-06
Date_Recolte,0.000750176757751686,0.0001288965766316208,0.0001669492352516233,0.0008406550903075072,6.355049243178534e-06,0.0007609132188034495,0.0003884273693777196,0.001061003633773705,0.0002695165959568646,0.0008195864167466205,0.0002994466185589628,0.0013864635950923132,0.0010130512460122532,0.0004764386213105265,0.10168488971772616,0.0005603367451381125,0.0005273108355373646,0.0005192538033085281,0.0001709109195803249,0.0,0.0014240704536726545,0.00035348095626852594,0.0003939765783742555,6.996820952731575e-06,2.313522981756133e-05,0.0001067943648942471
Dose_F1_1,0.0011538303653712,0.00025724270458771237,0.0002811732683306589,0.0005862092660346985,8.49873249207933e-05,0.0003610312494357615,0.00036138796080553703,0.0006265906205943361,0.0008241030184600318,0.0009436241342180018,0.0005976333333143069,0.000613364193535082,0.0005507364492239875,0.001208149944751824,0.0006507276688011432,0.0002794636722174282,0.0010102028514727968,3.0749710659971896e-05,0.0001236282613746864,0.0014240704536726545,0.0,0.00015407681580748012,0.00021270990292554526,3.1647994953809544e-05,0.00039096919226033755,0.0006761309393156223
Dose_F1_2,0.00019945302140023102,3.846472069135576e-05,1.1181270364035711e-06,0.0001267266279443291,0.0,0.0004792364438525043,4.5642642326981786e-05,0.00019836762282499087,4.543447631655262e-05,0.00031215457065747465,0.00024848589975612345,8.157954155518787e-05,0.0009888521409066042,0.00014342550451851288,0.00016507272559695974,7.699496608915002e-05,0.0011367177799004313,4.2732506766451905e-07,0.0002627302795348285,0.00035348095626852594,0.00015407681580748012,0.0,0.0005581451065662657,5.322179302824637e-07,0.0002286347080054929,1.8302356535548903e-05
Dose_F2_1,0.00029670480820609413,0.0005815819308254699,0.00022606417289872116,0.0011589040276073215,0.00029776397129521737,0.00038864518760284295,0.0001027745557019566,0.0003029976384423261,0.00032869614583963536,9.391938998071225e-05,2.9548364636644564e-05,0.0007838431849115368,9.887503344285786e-05,0.0004236253990123062,0.00011411734113619953,0.00041733763164986115,0.00032452668233595716,3.8533675723262384e-05,0.00018319500684227386,0.0003939765783742555,0.00021270990292554526,0.0005581451065662657,0.0,0.00016219858096866435,3.374331298600097e-05,0.00014805161593178795
Dose_F2_2,1.9105165246835476e-05,6.440260192808189e-06,5.217655751899031e-09,0.0005386335245807228,1.63436213906909e-05,0.0005081875268427849,0.0,0.00016803691466560355,1.3223379835558546e-05,0.00015521126893247583,2.699242324477602e-05,0.0009483386559238083,0.00032839783336124917,0.0008575642910930714,5.8964373465641984e-05,7.189538818974661e-05,0.00025459960022300443,8.014163789704654e-06,6.217955927922958e-09,6.996820952731575e-06,3.1647994953809544e-05,5.322179302824637e-07,0.00016219858096866435,0.0,0.00016573912184814077,1.1515704821496442e-05
Dose_F3_1,0.0,2.9413949999113065e-05,1.750487047635918e-05,0.00012375497603767105,0.00027560110507507396,0.00043522104741533507,3.4845946348394108e-06,0.000338395106045164,0.0006731571988597418,0.00028684644318499597,0.00024670631925005626,0.00023082464206880537,7.65471068265855e-05,0.0007124226594532601,0.0002626825890936768,1.347608593604832e-06,0.00021801843055335723,1.1282367484599654e-05,2.8370129845356473e-05,2.313522981756133e-05,0.00039096919226033755,0.0002286347080054929,3.374331298600097e-05,0.00016573912184814077,0.0,0.0003702164152349363
Dose_F3_2,1.1102230246251565e-16,4.0511953677491164e-05,1.5141344201774487e-06,1.2054258194282852e-05,3.515280434718271e-05,4.10928963586743e-05,2.0247425255748297e-05,0.0006717944413018317,-1.1102230246251565e-16,0.00014850162362389785,3.160727532658392e-05,0.00013283185362711336,0.00023286905716946027,0.0006457882486097244,4.955665463490799e-05,2.3697586246207436e-05,0.000255378961696473,0.00022048933717033758,2.8333392249058065e-06,0.0001067943648942471,0.0006761309393156223,1.8302356535548903e-05,0.00014805161593178795,1.1515704821496442e-05,0.0003702164152349363,0.0
