,n_ferti,has_prepa,nb_prepa,prepa_1,nb_f1,type_f1_1,nb_f2,type_f2_1,nb_f3,type_f3_1,prepa_2,type_f1_2,type_f2_2,type_f3_2,Date_Semis,Delta_PREPA_Semis,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
prepa_2,0.0005754903238627262,0.0,0.0,0.0010624189344446977,9.248981415022062e-05,0.0007482773617903948,0.0001785121156836489,0.001462545690160133,0.0006924946542613553,0.0006222661436107169,0.0,0.0007152551003453134,0.0007137929765417272,0.0007343996199303815,0.0008388572523176929,0.0002924747272322614,0.0008509766156475917,0.0002945616087283165,0.00018613417619139927,0.00025460682673261736,0.0006386167391472242,0.0006389432143953933,0.0001575211038760127,0.00015365409409329178,5.5165336328877324e-05,0.00045681238790296064
type_f1_2,0.0007208333184707261,0.0005759018614295286,7.226797048520694e-05,0.0005039316719006592,0.0,0.0011963054655173,0.00010963860413026882,0.0013738434030118318,0.0001409568126981009,0.0009183267533586781,0.0007152551003453134,0.0,0.0008359072670079959,0.00032706242144575626,0.001032644250410053,0.0008032250054582635,0.0009189567217456895,0.0002750385368498476,0.0009135404649469603,0.0006670285154932731,0.0001919930289163707,5.30807487729712e-05,0.00042373051381527915,0.0005325602002219654,2.246539431927097e-05,0.00014015396189459572
type_f2_2,0.0001647829513439225,0.0005154544002836658,0.0003768382409894411,0.0009730418731570545,0.000347222025333771,0.0013099944411136821,0.0,0.00032021141456861635,0.00043850557061608786,0.00101222404999457,0.0007137929765417272,0.0008359072670079959,0.0,0.0007238627105029538,0.000646711247532683,0.0004680874138947022,0.0007454364887536924,0.00020922148364088677,0.00043911101617521986,0.0004618620005157892,0.0004416211664519665,0.0003500173617155822,0.00022996319312329483,0.00043290256186989673,0.00010617032136184257,0.000690129915192017
type_f3_2,0.0,0.0002871417644403351,0.000268228881534216,0.0005414534332235377,0.00012156130491003392,0.0012663655428450937,0.0003125835719056669,0.0007308794839188115,0.0,0.0005478817987900619,0.0007343996199303815,0.00032706242144575626,0.0007238627105029538,0.0,0.000581575878448759,0.0005180880051328662,0.0008983057621930746,0.00035441805098934687,0.0003817606609277657,0.00010754976977234154,0.0011548797154156132,0.00014856368293769684,0.0004594324719899845,0.0005577023582185037,0.00033085868693916165,0.00030323372893326095
Date_Semis,0.0008184350325022294,0.0008387725877854191,0.0006273390356116293,0.0009820764257816306,0.0005074704885228432,0.0010546972467847526,0.00019616316186066296,0.0007055375697415656,0.0005040304980394872,0.0007581178944249256,0.0008388572523176929,0.001032644250410053,0.000646711247532683,0.000581575878448759,0.0,0.0010748942851858123,0.0011274437639906543,6.620839377324828e-05,0.0007247675973615086,0.002295208358982892,0.0011022619582484738,0.00045661892631465584,0.00021995375941930018,0.0002809307754411128,8.20687094990058e-05,0.00031175839460695354
Delta_PREPA_Semis,0.000296927892740273,1.1102230246251565e-16,3.7851771507946275e-05,0.0009604973781549564,0.0007639671200945219,0.0004575833910533955,9.876367549943588e-05,0.0005986211996878987,6.012274115396732e-05,0.0006280815110031313,0.0002924747272322614,0.0008032250054582635,0.0004680874138947022,0.0005180880051328662,0.0010748942851858123,0.0,0.0008034739255188272,8.525065921016761e-05,0.0001133312931566044,0.00010997196073325721,0.0006573981928683637,4.047631525105899e-05,0.0001285394172066967,0.0004922214437890204,0.0001435403200585883,2.188592785212773e-05
Date_F1,0.00027843312132691533,0.0006725791906225798,0.00022536183676691302,0.0012875783226352633,0.0004559965753244688,0.0008719143508347793,0.0003760774421521784,0.00029902083719368644,0.00013399876079811524,0.000823266271423595,0.0008509766156475917,0.0009189567217456895,0.0007454364887536924,0.0008983057621930746,0.0011274437639906543,0.0008034739255188272,0.0,0.00021764471478369352,0.0005378636854965757,0.00017875294948077602,0.00031480623982627076,0.00018760151775742973,0.0010928293012723023,0.0005310926366880464,0.00014204556093355691,0.0002047364422578246
Date_F2,3.496428951488273e-05,4.19725953626493e-05,2.421616555869921e-05,0.00010441368034841414,1.0788887933044222e-06,0.00023399040628935275,2.8377715495242484e-05,0.0001238775628747968,2.0409285587108528e-06,2.8978042535765525e-05,0.0002945616087283165,0.0002750385368498476,0.00020922148364088677,0.00035441805098934687,6.620839377324828e-05,8.525065921016761e-05,0.00021764471478369352,0.0,8.361818142588184e-05,3.598901725232473e-05,5.590434790248011e-05,7.383159231055814e-05,0.00017936367491311334,6.726750372820778e-05,4.491036635267953e-05,0.00016611887661266422
Date_F3,0.0,2.082152124538439e-05,5.389910235020778e-06,0.00012231686607566683,0.0008339755211667077,0.000475191679135456,1.55801180956594e-07,0.00046826491738116705,3.532337339517966e-06,0.00016945865484108147,0.00018613417619139927,0.0009135404649469603,0.00043911101617521986,0.0003817606609277657,0.0007247675973615086,0.0001133312931566044,0.0005378636854965757,8.361818142588184e-05,0.0,0.00015209833288298835,0.0002167896073164144,0.00017498014691097463,0.00048502228843372297,0.00010280094581216481,2.825648918414192e-05,0.0002447441422767094
Date_Recolte,0.00026355718838511066,6.225643250912238e-05,0.0001210032327790822,0.00033917883620993017,0.00020173420766278483,0.0001693619817185743,0.00014735089394046774,0.00039333942942165745,7.69189090413791e-05,0.00013165873131104622,0.00025460682673261736,0.0006670285154932731,0.0004618620005157892,0.00010754976977234154,0.002295208358982892,0.00010997196073325721,0.00017875294948077602,3.598901725232473e-05,0.00015209833288298835,0.0,0.00029193044526609757,5.182177884566208e-05,0.00018934782096435843,4.447802546492241e-06,7.888051916971062e-05,1.5818402582690183e-05
Dose_F1_1,0.000807009782293644,0.0003408083039517784,9.038842442310457e-05,0.000710547483145807,3.059665317117766e-05,0.0014783123827134537,0.00015344668732897304,0.0008340187462113624,0.00043133296635111673,0.001217390441671129,0.0006386167391472242,0.0001919930289163707,0.0004416211664519665,0.0011548797154156132,0.0011022619582484738,0.0006573981928683637,0.00031480623982627076,5.590434790248011e-05,0.0002167896073164144,0.00029193044526609757,0.0,0.0002865596562249273,0.0005563639899333062,0.00036395476861961207,0.00036206713616893094,0.0006745009898585508
Dose_F1_2,6.751206461252934e-05,2.317654158268123e-05,9.7872213493444e-05,0.00045934083319898455,0.0,0.000851283075004261,0.00019276150252767188,0.00016983464784281477,5.42132169009113e-05,5.135289044844171e-05,0.0006389432143953933,5.30807487729712e-05,0.0003500173617155822,0.00014856368293769684,0.00045661892631465584,4.047631525105899e-05,0.00018760151775742973,7.383159231055814e-05,0.00017498014691097463,5.182177884566208e-05,0.0002865596562249273,0.0,0.0002729063937030318,1.2078330288156636e-05,2.7438633833920534e-06,0.0005004025224509823
Dose_F2_1,0.0007265283219769492,0.000126402042515239,0.0002178853164983563,0.0009779758778085679,0.00025204287357782906,0.0006366794426873046,0.00011165630081788613,0.0005299310536046598,0.00016679776069872254,0.0004024524971841803,0.0001575211038760127,0.00042373051381527915,0.00022996319312329483,0.0004594324719899845,0.00021995375941930018,0.0001285394172066967,0.0010928293012723023,0.00017936367491311334,0.00048502228843372297,0.00018934782096435843,0.0005563639899333062,0.0002729063937030318,0.0,7.4119606577882635e-06,0.00022354469452512404,0.00011552288579486092
Dose_F2_2,0.00020917649602136823,0.00043211874785631377,8.18445706524118e-05,0.00025936058748199375,2.8205090752742024e-05,0.0001610055628251672,0.0,0.00014011771174493592,1.189891980002411e-05,0.00030987415483096914,0.00015365409409329178,0.0005325602002219654,0.00043290256186989673,0.0005577023582185037,0.0002809307754411128,0.0004922214437890204,0.0005310926366880464,6.726750372820778e-05,0.00010280094581216481,4.447802546492241e-06,0.00036395476861961207,1.2078330288156636e-05,7.4119606577882635e-06,0.0,1.11386189605156e-07,6.541327153952725e-05
Dose_F3_1,0.0,0.00010974314072487168,6.6599528817379294e-06,0.00023898574413228069,4.94944979747558e-05,0.0005364016542095396,3.8352717271483705e-05,0.00016271304928905383,0.000172081155097481,3.6732639301928494e-05,5.5165336328877324e-05,2.246539431927097e-05,0.00010617032136184257,0.00033085868693916165,8.20687094990058e-05,0.0001435403200585883,0.00014204556093355691,4.491036635267953e-05,2.825648918414192e-05,7.888051916971062e-05,0.00036206713616893094,2.7438633833920534e-06,0.00022354469452512404,1.11386189605156e-07,0.0,1.3222263197998352e-05
Dose_F3_2,1.1102230246251565e-16,1.244632697261494e-05,0.00041531303117148255,0.00039470460055224255,1.0964718152317587e-06,0.000617856987525478,9.535426914730749e-08,0.00022376232624987669,0.0,0.00017756179388772608,0.00045681238790296064,0.00014015396189459572,0.000690129915192017,0.00030323372893326095,0.00031175839460695354,2.188592785212773e-05,0.0002047364422578246,0.00016611887661266422,0.0002447441422767094,1.5818402582690183e-05,0.0006745009898585508,0.0005004025224509823,0.00011552288579486092,6.541327153952725e-05,1.3222263197998352e-05,0.0
