sortie,parametre,test,statistique,p_value,R2_parametre,n,n_groupes,normalite_min_p,levene_p
dCorg,n_ferti,Kruskal,1.8116059979711794,0.6124126032012076,0.00023931581272208585,10000,4,4.421394967290837e-05,0.2615296236947623
dCorg,type_f2_2,Kruskal,2.8560010510283456,0.41436392202229055,0.00023814445894679794,10000,4,1.018435079818918e-07,0.20049790315151783
dCorg,type_f1_1,Kruskal,2.0156506092336017,0.5691647248556346,0.00021572516408928,10000,4,4.596633736297801e-06,0.0838862541167129
dCorg,nb_f1,Kruskal,1.2171224186414886,0.2699261186358585,0.00020628626245031977,10000,2,3.1431023552640598e-06,0.16289407151505628
dCorg,nb_prepa,Kruskal,1.7138722887000932,0.1904837306603671,0.00015604451219137028,10000,2,1.2803406389906775e-05,0.23034991793626897
dCorg,Dose_F2_1,Kruskal,1.8000511199239544,0.4065592679683626,0.0001365860397038747,10000,3,2.4405390070324678e-05,0.2824968355974078
dCorg,Dose_F1_1,Kruskal,1.3423909847943873,0.7190923686090048,0.00011594160519966841,10000,4,1.676357896092129e-05,0.9239714244421037
dCorg,Date_F2,Kruskal,1.1676933264934544,0.27987570718233784,0.00011335046132993868,10000,2,2.2014881389572834e-05,0.9424651423108564
dCorg,Dose_F1_2,Kruskal,0.46112597816610007,0.49709821546957556,8.087625507643037e-05,10000,2,3.980529469067571e-06,0.2023753028846127
dCorg,type_f2_1,Kruskal,0.5865763688796467,0.8994984131099453,5.733737781012614e-05,10000,4,1.3445417600695694e-06,0.7687746603159838
dCorg,Dose_F2_2,Kruskal,0.26724079887442753,0.6051887020382039,3.141715045780515e-05,10000,2,3.0734668353495887e-06,0.6788594338531004
dCorg,nb_f3,Kruskal,0.0071322831761455084,0.9326963923855036,1.2459156637305942e-05,10000,2,1.2139822278284639e-05,0.9865737087971155
dCorg,Date_F3,Kruskal,0.01689246475289542,0.8965893587820724,4.554311397815886e-06,10000,2,1.697015306319713e-05,0.35694620579216596
dCorg,Dose_F3_1,Kruskal,0.11738363585360143,0.7318896558524167,4.286037626249188e-06,10000,2,3.4379462087267603e-05,0.39924840756842833
dCorg,Dose_F3_2,Kruskal,0.0005923610712282335,0.9805826284194508,1.7490638923017506e-06,10000,2,7.364854641630059e-06,0.6673616565946661
rdt,Delta_PREPA_Semis,Kruskal,4319.505120710192,0.0,0.34230580930790655,9997,3,7.006237913852206e-26,1.632421751040784e-27
rdt,has_prepa,Kruskal,3548.428996134164,0.0,0.24464121650429027,10000,2,5.84613283313977e-25,2.2217866936116743e-90
rdt,prepa_1,Kruskal,2834.791678631228,0.0,0.19621143510990663,10000,4,1.528786955441904e-17,1.0441482549021195e-48
rdt,Date_Recolte,Kruskal,1096.0088427355824,2.6726774038436346e-237,0.1693105140921083,10000,4,5.7780348197594505e-18,0.0
rdt,Date_Semis,Kruskal,1133.0147068499728,2.5027823729213726e-245,0.13925656367013467,10000,4,8.143444889323367e-17,1.886439180143714e-30
rdt,prepa_2,Kruskal,1254.9735918307579,8.660641622093572e-272,0.08946788710129938,10000,4,1.4969339307276945e-15,5.200205212180571e-08
rdt,nb_prepa,Kruskal,1253.2393145271433,1.6410348558789783e-274,0.08934253967203529,10000,2,1.4969339307276945e-15,4.864034002413199e-09
rdt,Dose_F2_1,Kruskal,4.020848491134973,0.1339318426237074,0.0007727274197186274,10000,3,3.9720081941794966e-11,0.3798675235477633
rdt,type_f1_1,Kruskal,7.08987544510592,0.06908764294851666,0.0007008623127864762,10000,4,1.991452746040605e-11,0.633745229483254
rdt,type_f3_1,Kruskal,5.18254753711126,0.15890785641979788,0.0005398501670989884,10000,4,5.64349413179683e-12,0.5804107604885267
rdt,type_f3_2,Kruskal,1.230555612614752,0.7456855258945663,0.0003906952807433973,10000,4,1.841790083309789e-13,0.8595357762259213
rdt,type_f2_2,Kruskal,3.101243959069115,0.3762772317111204,0.00029318682449008094,10000,4,2.242164466672459e-11,0.19416649918327147
rdt,Date_F1,Kruskal,3.230029019061906,0.357500630728805,0.0002616503214622498,10000,4,8.116524313902003e-13,0.728535537055574
rdt,nb_f2,Kruskal,1.7876557312009627,0.18121204981825034,0.00022735231906161434,10000,2,2.136352418173079e-10,0.01025384749653371
rdt,nb_f3,Kruskal,0.721924934254384,0.3955132208322495,0.00019854683545575681,10000,2,1.5101488450956316e-13,0.4495454026501151
rdt,n_ferti,Kruskal,1.2546187193822866,0.7399364568075777,0.00018381051368310098,10000,4,1.8686234151136425e-12,0.9138992844237508
rdt,Dose_F3_2,Kruskal,1.7836925423631074,0.18169655645805652,0.00014489256622967757,10000,2,1.7515584710214664e-12,0.7927344360926314
rdt,type_f1_2,Kruskal,0.9080094799309804,0.8234945195289327,8.57195262245418e-05,10000,4,1.16377956766221e-12,0.2501068477520054
rdt,Dose_F1_1,Kruskal,0.18237543601680448,0.9803830687096556,8.095593050912463e-05,10000,4,4.331195800038736e-13,0.1563380701983995
rdt,Date_F2,Kruskal,0.7894718519479965,0.37425987364720614,7.672319741600563e-05,10000,2,5.984903703266248e-11,0.29430079883991234
rdt,Dose_F2_2,Kruskal,0.6892861679426557,0.4064072876133058,4.5007209750985655e-05,10000,2,4.075398671291099e-11,0.8614929075401719
rdt,nb_f1,Kruskal,0.8913749992333104,0.34510496801099444,2.4160073824904214e-05,10000,2,6.5382871194292835e-12,0.4466074320959433
rdt,type_f2_1,Kruskal,1.0934952735139114,0.7786445781121212,1.8295548649365763e-05,10000,4,7.596142771414511e-11,0.6765965842736963
rdt,Date_F3,Kruskal,0.22080507173988037,0.6384271776234787,4.218163027702773e-06,10000,2,1.3840533621263767e-11,0.6039835686327383
rdt,Dose_F3_1,Kruskal,0.31886487790850393,0.5722906115668215,3.624659605945444e-06,10000,2,6.700198379634096e-12,0.3528590869410135
rdt,Dose_F1_2,Kruskal,0.4146020945142655,0.5196428578185508,4.9539639655470464e-08,10000,2,3.305455473571991e-10,0.5293556559837974
