sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
rdt,type_f1_2,type_f2_2,8.57195262245418e-05,0.00029318682449008094,0.0003537704709505318,0.0020904699849181307,0.0024442404558686626,0.7390991795208386,0.05784943086063302,10000,4,4,16,15.0,9984.0
rdt,type_f3_1,type_f3_2,0.0005398501670989884,0.0003906952807433973,0.0008985727412686995,0.0014866583131070144,0.002385231054375714,0.17440806706812578,0.06754252304677621,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,Dose_F2_1,0.0007008623127864762,0.0007727274197186274,0.0016095041978174685,0.0007053212643459705,0.002314825462163439,0.006566628214529238,0.010183261367301105,9999,4,3,11,10.0,9988.0
rdt,type_f1_1,Date_F1,0.0007008623127864762,0.0002616503214622498,0.0010118546421172825,0.0009681215832652024,0.001979976225382485,0.11974526680467931,0.17971778695713586,10000,4,4,16,15.0,9984.0
rdt,type_f3_1,Dose_F1_1,0.0005398501670989884,8.095593050912463e-05,0.0006137413455780116,0.0013554990870757733,0.001969240432653785,0.40810420256637503,0.18402492032012888,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,type_f2_1,0.0007008623127864762,1.8295548649365763e-05,0.0007182352670743741,0.0012069187368961565,0.0019251540039705306,0.304402168877785,0.20255015218762953,10000,4,4,16,15.0,9984.0
rdt,Dose_F1_1,Dose_F2_1,8.095593050912463e-05,0.0007727274197186274,0.001256253139150787,0.0006638798659552858,0.0019201330051060728,0.0278729572364166,0.03781094237031594,9996,4,3,11,10.0,9985.0
rdt,type_f1_1,type_f1_2,0.0007008623127864762,8.57195262245418e-05,0.0007785975897554032,0.0011128217855268518,0.001891419375282255,0.2542729673962081,0.21765221583281275,10000,4,4,16,15.0,9984.0
rdt,Date_F1,Dose_F2_1,0.0002616503214622498,0.0007727274197186274,0.0009149964247135989,0.0008362891985873588,0.0017512856233009577,0.10333162927823733,0.06380048696347974,9997,4,3,11,10.0,9986.0
rdt,type_f3_1,Date_F1,0.0005398501670989884,0.0002616503214622498,0.0007833289704772817,0.0009585904641660203,0.001741919434643302,0.25063798178720037,0.294506702735099,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,type_f2_2,0.0007008623127864762,0.00029318682449008094,0.0009904877006111645,0.0007084357844666656,0.00169892348507783,0.12871745551848007,0.3196106328652541,10000,4,4,16,15.0,9984.0
rdt,type_f3_2,Dose_F2_2,0.0003906952807433973,4.5007209750985655e-05,0.0004559986013458195,0.0012400840613380204,0.00169608266268384,0.33558531060640817,0.017617465212314606,10000,4,2,8,7.0,9992.0
rdt,type_f3_1,type_f2_2,0.0005398501670989884,0.00029318682449008094,0.0009192228072354425,0.0007263508680142028,0.0016455736752496453,0.16307219712960844,0.3525593587652116,10000,4,4,16,15.0,9984.0
rdt,type_f3_2,Date_F1,0.0003906952807433973,0.0002616503214622498,0.0006471312286454589,0.0008927105673876001,0.001539841796033059,0.3726296391257776,0.42331148936829743,10000,4,4,16,15.0,9984.0
rdt,type_f2_1,type_f1_2,1.8295548649365763e-05,8.57195262245418e-05,0.0001062468590005139,0.0014245283523882657,0.0015307752113887796,0.9831526461287883,0.42968416761688666,10000,4,4,16,15.0,9984.0
rdt,n_ferti,type_f1_1,0.00018381051368310098,0.0007008623127864762,0.0008576548977400344,0.0006673156607257535,0.001524970558465788,0.19886870064227585,0.22809397318708158,10000,4,4,13,12.0,9987.0
rdt,type_f2_1,type_f3_1,1.8295548649365763e-05,0.0005398501670989884,0.0005682002108738926,0.0009073115419314659,0.0014755117528053585,0.4598822811851986,0.46942548986079846,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,type_f3_2,0.0007008623127864762,0.0003906952807433973,0.0010838128043546558,0.00038321507572947056,0.0014670278800841263,0.0934951722222471,0.47565160934995543,10000,4,4,16,15.0,9984.0
rdt,type_f2_2,type_f3_2,0.00029318682449008094,0.0003906952807433973,0.000752633878850939,0.0007016776278397918,0.0014543115066907308,0.27497396669367935,0.48503976296452,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,Dose_F2_2,0.0007008623127864762,4.5007209750985655e-05,0.0007407671602543964,0.0007018720781644117,0.001442639238418808,0.11586017620984487,0.04405857972042898,10000,4,2,8,7.0,9992.0
rdt,type_f1_1,Dose_F1_1,0.0007008623127864762,8.095593050912463e-05,0.0007924298922974415,0.0006430194532514033,0.0014354493455488448,0.24376341796670145,0.4990805438397862,10000,4,4,16,15.0,9984.0
rdt,type_f1_2,Dose_F2_1,8.57195262245418e-05,0.0007727274197186274,0.0004295078121452356,0.001004337698229496,0.0014338455103747316,0.5081966488738656,0.11098784195602762,9995,4,3,10,9.0,9985.0
rdt,type_f3_2,Dose_F2_1,0.0003906952807433973,0.0007727274197186274,0.0012326714977735076,0.00018963181659747974,0.0014223033143709873,0.030565226935363937,0.11462830546711185,9999,4,3,10,9.0,9989.0
rdt,nb_f3,type_f3_1,0.00019854683545575681,0.0005398501670989884,0.0007031643175436919,0.0006958940924783885,0.0013990584100220804,0.13424323288867981,0.05131171458794412,10000,2,4,8,7.0,9992.0
