sortie,metamodele,parametre,Shapley_variance,Shapley_normalise,variance_modele,n_permutations,n_mc
dCorg,XGBoost,prepa_2,25.556857435803668,0.019641761930102305,1301.14892578125,64,700
dCorg,XGBoost,type_f1_1,21.51648545707347,0.016536527856835685,1301.14892578125,64,700
dCorg,XGBoost,Dose_F2_2,21.323144834464166,0.016387935625171494,1301.14892578125,64,700
dCorg,XGBoost,n_ferti,20.7561874453828,0.015952199655331647,1301.14892578125,64,700
dCorg,XGBoost,Dose_F1_2,20.20412525833364,0.01552791141583002,1301.14892578125,64,700
dCorg,XGBoost,nb_f2,19.110458580400447,0.0146873722152335,1301.14892578125,64,700
dCorg,XGBoost,nb_f1,17.610430072301813,0.013534523007601123,1301.14892578125,64,700
dCorg,XGBoost,Delta_PREPA_Semis,17.180378343737736,0.013204006092862972,1301.14892578125,64,700
dCorg,XGBoost,Date_F1,17.14317620163808,0.013175414329566301,1301.14892578125,64,700
dCorg,XGBoost,Dose_F2_1,16.952501635604644,0.013028871099767338,1301.14892578125,64,700
dCorg,XGBoost,has_prepa,13.755962545357356,0.010572166085521572,1301.14892578125,64,700
dCorg,XGBoost,type_f3_2,13.755405156809891,0.010571737703699614,1301.14892578125,64,700
dCorg,XGBoost,Dose_F3_1,12.157105049947237,0.0093433617083054,1301.14892578125,64,700
dCorg,XGBoost,Date_F3,12.103843207665452,0.009302427237833618,1301.14892578125,64,700
dCorg,XGBoost,Dose_F1_1,10.653201561937175,0.008187534378926428,1301.14892578125,64,700
dCorg,XGBoost,prepa_1,8.954072725588121,0.0068816663090367,1301.14892578125,64,700
dCorg,XGBoost,type_f1_2,7.4555527082258175,0.005729976454270424,1301.14892578125,64,700
dCorg,XGBoost,Date_F2,5.110667353356169,0.0039278112229063755,1301.14892578125,64,700
dCorg,XGBoost,Dose_F3_2,3.1222784452964953,0.0023996318818168974,1301.14892578125,64,700
dCorg,XGBoost,type_f2_1,2.758864116994064,0.0021203292431245385,1301.14892578125,64,700
dCorg,XGBoost,type_f3_1,2.7536314049915402,0.0021163076342995673,1301.14892578125,64,700
rdt,ExtraTrees,Date_Recolte,0.004422612863126238,0.23796799142059138,0.01858490646882667,64,700
rdt,ExtraTrees,Date_Semis,0.0039747742865893065,0.2138710944419538,0.01858490646882667,64,700
rdt,ExtraTrees,has_prepa,0.0036434048240579094,0.19604106322349063,0.01858490646882667,64,700
rdt,ExtraTrees,Delta_PREPA_Semis,0.0014208485440704271,0.0764517457461345,0.01858490646882667,64,700
rdt,ExtraTrees,nb_f1,0.0005397818432390872,0.02904409791593455,0.01858490646882667,64,700
rdt,ExtraTrees,Dose_F1_2,0.0005279303341128854,0.028406402528762118,0.01858490646882667,64,700
rdt,ExtraTrees,Dose_F3_2,0.0004395080048083343,0.02364865303710522,0.01858490646882667,64,700
rdt,ExtraTrees,Dose_F3_1,0.0003912979966941634,0.02105461210420971,0.01858490646882667,64,700
rdt,ExtraTrees,nb_f3,0.0003895406455037611,0.020960054125489184,0.01858490646882667,64,700
rdt,ExtraTrees,Dose_F1_1,0.00034449384331856274,0.01853621614380456,0.01858490646882667,64,700
rdt,ExtraTrees,type_f2_2,0.00032415350622123093,0.01744176150495827,0.01858490646882667,64,700
rdt,ExtraTrees,prepa_1,0.00029847275039876584,0.01605995439898544,0.01858490646882667,64,700
rdt,ExtraTrees,type_f3_2,0.0002666338763781083,0.014346796785087173,0.01858490646882667,64,700
rdt,ExtraTrees,Date_F1,0.00026506786621998345,0.014262534313239301,0.01858490646882667,64,700
rdt,ExtraTrees,Date_F2,0.00025089497533667074,0.013499932095838555,0.01858490646882667,64,700
rdt,ExtraTrees,type_f1_1,0.0002506046205454714,0.013484308945316577,0.01858490646882667,64,700
rdt,ExtraTrees,Dose_F2_1,0.00020197951917282214,0.010867933046185182,0.01858490646882667,64,700
rdt,ExtraTrees,n_ferti,0.00015934858917469424,0.008574086151145128,0.01858490646882667,64,700
rdt,ExtraTrees,Date_F3,0.00013234167337409806,0.007120922216965736,0.01858490646882667,64,700
rdt,ExtraTrees,nb_f2,0.00012581093695983547,0.00676952220183965,0.01858490646882667,64,700
rdt,ExtraTrees,nb_prepa,9.606621519307202e-05,0.00516904485659954,0.01858490646882667,64,700
rdt,ExtraTrees,prepa_2,7.430172231758342e-05,0.003997960519317822,0.01858490646882667,64,700
rdt,ExtraTrees,type_f2_1,7.012331132244304e-05,0.0037731323232680315,0.01858490646882667,64,700
rdt,ExtraTrees,type_f3_1,4.040508237249391e-05,0.0021740804797843473,0.01858490646882667,64,700
