sortie,metamodele,parametre,Sobol_S1,Sobol_ST
dCorg,XGBoost,n_ferti,4.7215420636348426e-05,2.4349910177079437e-07
dCorg,XGBoost,type_f1_1,-6.683541141683236e-05,1.989632210097625e-07
dCorg,XGBoost,Dose_F3_2,-0.0001134901394834742,1.3781108521015994e-07
dCorg,XGBoost,nb_prepa,7.641007869096939e-06,1.0031497765794484e-07
dCorg,XGBoost,type_f2_1,-7.44912467780523e-05,8.841663401426558e-08
dCorg,XGBoost,type_f3_1,6.985275831539184e-05,7.747156161030944e-08
dCorg,XGBoost,type_f3_2,-8.597594955972454e-07,5.6522591052043936e-08
dCorg,XGBoost,nb_f2,-5.740694541600533e-05,4.288640553795631e-08
dCorg,XGBoost,nb_f1,-3.4162949305027723e-06,1.2664012949414882e-08
dCorg,XGBoost,nb_f3,1.2315032108745072e-05,3.369130308072954e-09
rdt,ExtraTrees,Date_Recolte,0.5349698839666113,0.4403054721331565
rdt,ExtraTrees,Date_Semis,1.3779239023877567,0.39861393792614264
rdt,ExtraTrees,has_prepa,1.5700762799028696,0.23042693993491842
rdt,ExtraTrees,Delta_PREPA_Semis,0.6739708667037428,0.11348885838427758
rdt,ExtraTrees,type_f1_1,-0.004870037701532288,0.00024365650466055125
rdt,ExtraTrees,prepa_1,-0.009763506295701494,0.0001709461324459166
rdt,ExtraTrees,n_ferti,0.00787739259258513,0.00016809196445740574
rdt,ExtraTrees,type_f1_2,-0.00017638464285728783,0.00012984900348432356
rdt,ExtraTrees,prepa_2,0.021593766426331203,0.00011085894418609312
rdt,ExtraTrees,type_f2_1,-0.000991091378239962,0.00010234451393152561
rdt,ExtraTrees,Dose_F1_1,-0.003811881891430681,3.90978232608879e-05
rdt,ExtraTrees,Date_F1,-0.003624618462714301,3.907798800653935e-05
rdt,ExtraTrees,nb_f1,-0.0020005656101753882,3.88751158953718e-05
rdt,ExtraTrees,type_f2_2,0.0027181157071841187,3.155608990524725e-05
rdt,ExtraTrees,type_f3_1,-0.002309168995947244,2.9710099902265966e-05
rdt,ExtraTrees,nb_prepa,0.002990997183100545,2.4652520451732747e-05
rdt,ExtraTrees,nb_f2,-0.00026771473164609127,2.004424061440434e-05
rdt,ExtraTrees,Date_F2,-0.0016338232404205996,1.745167281686984e-05
rdt,ExtraTrees,Dose_F1_2,-0.0016928094485590735,1.3423862366550951e-05
rdt,ExtraTrees,type_f3_2,-0.003302803581324282,1.1160319904093155e-05
rdt,ExtraTrees,Dose_F2_1,-0.007093250191081232,1.1134579009472221e-05
rdt,ExtraTrees,nb_f3,-0.0012831243101299298,1.0088314011057173e-05
rdt,ExtraTrees,Dose_F2_2,0.0002219283548415377,7.473462108236481e-06
rdt,ExtraTrees,Dose_F3_1,-0.0003583973239079242,6.656075391370767e-06
rdt,ExtraTrees,Date_F3,-0.0031388752137102493,4.65907792899129e-06
