sortie,metamodele,parametre,Sobol_S1,Sobol_ST
rdt,SparsePCE,Date_Recolte,0.0066168450159114585,0.012953663962182815
rdt,SparsePCE,Date_Semis,0.005200895214047172,0.0116596047019148
rdt,SparsePCE,type_f3_1,0.0042284557601792085,0.0055429739039079004
rdt,SparsePCE,prepa_1,0.002660893842224277,0.0036613650665405974
rdt,SparsePCE,Delta_PREPA_Semis,0.0006222003576414172,0.002365877254544303
rdt,SparsePCE,Dose_F3_2,3.861215931083221e-06,0.0001086568951654759
rdt,SparsePCE,Date_F2,6.402569232604134e-05,0.0001034986709457165
rdt,SparsePCE,Dose_F2_2,0.0,4.9931435437142445e-05
rdt,SparsePCE,Dose_F1_2,1.8190382933213397e-06,2.8408481214225497e-05
rdt,SparsePCE,Dose_F3_1,0.0,2.436481985724174e-05
rdt,SparsePCE,Dose_F2_1,9.442947800493033e-07,1.6727190454066083e-05
rdt,SparsePCE,Date_F3,0.0,1.4646931721823505e-05
rdt,SparsePCE,Dose_F1_1,8.727471622798461e-07,1.0603481134034337e-05
rdt,SparsePCE,Date_F1,0.0,5.8722534086421645e-06
rdt,SparsePCE,type_f1_2,0.0,1.637290138581882e-06
rdt,SparsePCE,type_f2_1,0.0,7.459866332483652e-07
rdt,SparsePCE,type_f1_1,0.0,0.0
