,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
type_f2_2,0.0009011016729076893,0.005160776290872193,0.003943414654608901,0.005420769507012202,0.0002357634065713876,0.0008614077175755908,9.000104524559127e-05,0.000762612110196903,7.870509808993731e-05,0.00018315777783128873,0.0,0.0004536788215246945,0.00024708951849317096,0.00016155085793134738,0.0013553866393326564,0.005092164427310419,0.0011204477546000735,0.000600241344860919,0.0006455266590922326,0.0011807403790790039,0.0003126204466712412,0.001084108857729582,0.0007042872507395659,0.000612479815875866,0.0005077256276421194,0.0005953072637734369
nb_f3,0.06560012583165764,0.00016217198620072093,0.00024767071812559216,0.0005411475294780921,0.07184936057934155,0.06355696978032233,0.02242538611372502,0.036109159157821424,0.012496428814093408,0.0191603644717393,0.0004536788215246945,0.0,0.017143040438835966,0.009734598759454482,0.002564988006268254,0.0004504291574627395,0.05886430417916311,0.04737665481571096,0.006359649579118276,0.002228389136616604,0.04950858372927969,0.033631159307976666,0.047964785278372,0.006237569501482798,0.006531627422400765,0.0014879192591296109
type_f3_1,0.05634002506780189,5.5588738881340305e-05,8.786302604057994e-05,0.0002680083574888581,0.023274287694811546,0.043920543555889036,0.05322352259701202,0.04111085762655353,0.01158787588234178,0.019200426112624402,0.00024708951849317096,0.017143040438835966,0.0,0.008958494174634457,0.0011377506793774916,0.0005144040341282796,0.04345984173786366,0.05527741829430044,0.004807812473940021,0.0009014417795238927,0.036826095321732866,0.01232233757987189,0.05603382849396965,0.013505262669716744,0.004166898409297404,0.0016514831811506037
type_f3_2,0.032019129737052454,9.333596816063494e-05,6.10359940234062e-06,0.0001340571574025562,0.012963822743804587,0.02373265863093832,0.012380408731802794,0.02037043075061573,0.02976922524225578,0.02423801514525592,0.00016155085793134738,0.009734598759454482,0.008958494174634457,0.0,0.001530941969504429,0.0002949545557431321,0.0231524388008163,0.026138006055039575,0.005684840673157776,0.002360999976507294,0.020195457529128547,0.006874886259011226,0.026355405408295063,0.00257460114200303,0.005607051933059881,0.0036574684694855586
Jour_Semis,0.013064147058635012,0.0013835833568014433,0.0006630950232109356,0.0016288062867113595,0.0029939300474147723,0.0046831888587631765,0.000943016636223315,0.0032132804174985763,0.0017630243131442347,0.002300006820462608,0.0013553866393326564,0.002564988006268254,0.0011377506793774916,0.001530941969504429,0.0,0.003213932958190724,0.004315805367479997,0.005618327110034738,0.001353900107933681,0.005043745059842952,0.0055029104660676564,0.001924473451053843,0.005847370445139388,0.0004766901409720692,0.001414136578502645,0.0014231741555428279
Jours_av_PREPA,0.000562207700232964,0.02171015522237063,0.007056089984910807,0.013720607492267334,0.00027003410579751197,0.00039947581644395047,0.0001811695596507512,0.00037266376492206543,0.0003061372387221928,0.00034321218061028613,0.005092164427310419,0.0004504291574627395,0.0005144040341282796,0.0002949545557431321,0.003213932958190724,0.0,0.06745158317989475,0.001994291653660829,0.011691252379786854,0.0008244959403492791,0.061944843418218265,0.002757238935821027,0.0022210031844254186,0.009080557848248683,0.011201330985971869,0.007932479111654067
Jours_semis_F1,0.18215535883957346,0.00028766518462586266,0.00042176318291486936,0.0013157688936342726,0.08263987472854228,0.1438812841463235,0.059183536744275345,0.08713047066396484,0.030492210303862288,0.04278480480053348,0.0011204477546000735,0.05886430417916311,0.04345984173786366,0.0231524388008163,0.004315805367479997,0.06745158317989475,0.0,0.19880173257677702,0.135901870890495,0.10023607862795436,0.19277689601360637,0.14905193840707587,0.1979514921418124,0.13136410292615008,0.13063144256303305,0.13318960428649984
Jours_F1_F2,0.23647738585667688,0.0005826930900150185,0.0006005123651586786,0.0008661353178800457,0.06849866151166395,0.12766030703170572,0.0787316062023109,0.14089892840550933,0.03471152728203031,0.05497831311336632,0.000600241344860919,0.04737665481571096,0.05527741829430044,0.026138006055039575,0.005618327110034738,0.001994291653660829,0.19880173257677702,0.0,0.03051805733531998,0.008686475244774838,0.1594365661416991,0.0484092465599989,0.2333498933337863,0.030900542998111957,0.03075439270152336,0.008843872556459798
Jours_F2_F3,0.035874545247232215,0.0005300102180096911,0.00010671698109521177,0.0011002785013631833,0.009325736420956465,0.012231183393661249,0.005557680991463143,0.013299133620262471,0.008275138465014487,0.017039332194245027,0.0006455266590922326,0.006359649579118276,0.004807812473940021,0.005684840673157776,0.001353900107933681,0.011691252379786854,0.135901870890495,0.03051805733531998,0.0,0.002264343901586252,0.11113376991341539,0.06980595323502037,0.030283669003169367,0.08386219953555374,0.05494446706483036,0.04855473279645883
Jours_op_recolte,0.0404491700752494,0.0005243961923814267,0.00041037811436439586,0.0008878612535040409,0.003573724801984701,0.009577536422834765,0.0011396976345652288,0.0026897702874962848,0.00266083422354646,0.005025134524557107,0.0011807403790790039,0.002228389136616604,0.0009014417795238927,0.002360999976507294,0.005043745059842952,0.0008244959403492791,0.10023607862795436,0.008686475244774838,0.002264343901586252,0.0,0.007138942085152533,0.0047127744083969025,0.004915217177601794,0.0008223394591332367,0.0018486965295758662,0.0008421804651272957
Dose_F1_1,0.16926351783763816,0.0003373543933453682,9.390665176911561e-05,0.00030407823147304835,0.07393137317241771,0.1358221426312355,0.05125389357055243,0.07872949019372888,0.025946000200052,0.03642082520899004,0.0003126204466712412,0.04950858372927969,0.036826095321732866,0.020195457529128547,0.0055029104660676564,0.061944843418218265,0.19277689601360637,0.1594365661416991,0.11113376991341539,0.007138942085152533,0.0,0.12223754795463326,0.16137547999230595,0.11437407534422539,0.11441316646358157,0.11326612632787969
Dose_F1_2,0.0648497077889777,0.0003207673524464605,0.00026276868485908267,0.0005093503457682669,0.06845605394764775,0.03845300646616645,0.016578421572631896,0.027601745248822862,0.009119404379190232,0.014971983330484218,0.001084108857729582,0.033631159307976666,0.01232233757987189,0.006874886259011226,0.001924473451053843,0.002757238935821027,0.14905193840707587,0.0484092465599989,0.06980595323502037,0.0047127744083969025,0.12223754795463326,0.0,0.04692497627490688,0.060091706810120105,0.07107900309660586,0.04338338401292108
Dose_F2_1,0.24114194665769406,0.0005702169881413033,0.0003653920938661015,0.0008011701321218867,0.06958005908908249,0.1306404131551253,0.08020746316935601,0.14368693350747486,0.03485130225838484,0.05575860625580398,0.0007042872507395659,0.047964785278372,0.05603382849396965,0.026355405408295063,0.005847370445139388,0.0022210031844254186,0.1979514921418124,0.2333498933337863,0.030283669003169367,0.004915217177601794,0.16137547999230595,0.04692497627490688,0.0,0.03060085521999678,0.030395900088196925,0.007575798986769744
Dose_F2_2,0.030920891229638592,0.0007609094302578612,0.0003129189158245227,0.0014695815373639842,0.009052153575551225,0.013594652227654658,0.02611698644953786,0.014572385547910516,0.003014430682903191,0.005291509607387557,0.000612479815875866,0.006237569501482798,0.013505262669716744,0.00257460114200303,0.0004766901409720692,0.009080557848248683,0.13136410292615008,0.030900542998111957,0.08386219953555374,0.0008223394591332367,0.11437407534422539,0.060091706810120105,0.03060085521999678,0.0,0.08646794559771132,0.053538104037758605
Dose_F3_1,0.03634241453619613,0.000620312603935913,5.5061684478885375e-05,0.0013295746552240972,0.009531830677645181,0.01247535519641818,0.005209065161998705,0.013088099744186898,0.007924357128931248,0.01692177750578816,0.0005077256276421194,0.006531627422400765,0.004166898409297404,0.005607051933059881,0.001414136578502645,0.011201330985971869,0.13063144256303305,0.03075439270152336,0.05494446706483036,0.0018486965295758662,0.11441316646358157,0.07107900309660586,0.030395900088196925,0.08646794559771132,0.0,0.046767274918211865
Dose_F3_2,0.008228343867327292,0.00034058613341791943,4.6697207766288606e-05,0.0007594362078596761,0.0020623257677766516,0.00298400272252064,0.00133397146675307,0.003622600326318337,0.005893723799690331,0.0038958676676951187,0.0005953072637734369,0.0014879192591296109,0.0016514831811506037,0.0036574684694855586,0.0014231741555428279,0.007932479111654067,0.13318960428649984,0.008843872556459798,0.04855473279645883,0.0008421804651272957,0.11326612632787969,0.04338338401292108,0.007575798986769744,0.053538104037758605,0.046767274918211865,0.0
