point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,N_lixi,dCorg,rdt
341,smt_003,beauce_5_sa_041,0,2,84.70322055353763,-23.08443675367536,2.338874376250115,3.3493348449556417,21.190511433005884,158.0,237.5,294.0,365.8508849721103,10.0,10.0,10.0,2.427,-437.442,5.41
342,smt_003,beauce_5_sa_042,1,2,47.91730930656568,-6.27729984368662,1.4403307294916303,8.268760743244492,9.135283549309063,121.29592309301933,237.5,294.0,358.2262942925996,1.9889089176162449,10.0,10.0,2.417,-441.37,5.4688888888888885
343,smt_003,beauce_5_sa_043,1,0,70.86936120662662,-24.0,2.445428199326388,13.0,13.0,189.91366657419104,237.5,294.0,373.1832014320607,1.2927397505823606,10.0,10.0,3.999,-475.241,5.495555555555556
344,smt_003,beauce_5_sa_044,0,1,87.61644394533957,-35.788830442667,1.4533898470343212,17.21423372955383,13.0,158.0,237.5,294.0,378.84207100862386,10.0,10.0,10.0,2.857,-440.283,5.4255555555555555
345,smt_003,beauce_5_sa_045,2,1,61.979106024387875,-40.99289540851938,3.153571199566604,10.642715287070525,13.0,122.72968174190795,249.40174700161452,294.0,367.72780031796896,34.89917803587054,1.0258030523768886,10.0,5.8740000000000006,-388.687,7.147777777777778
346,smt_003,beauce_5_sa_046,2,1,72.56845037823066,-38.94617434637301,3.5183055367743545,15.486728599606115,13.0,169.8091213845399,257.1766736443785,294.0,369.16583425735905,14.161548771896392,3.131739936039455,10.0,2.366,-402.477,6.381111111111111
347,smt_003,beauce_5_sa_047,0,1,60.69577198152801,-39.531569303446176,3.0578418642341454,17.615394790004068,13.0,158.0,237.5,294.0,341.2345223807098,10.0,10.0,10.0,1.431,-441.543,5.513333333333333
348,smt_003,beauce_5_sa_048,3,0,103.17103696172244,-24.0,2.3669423117214747,13.0,13.0,128.7344095144327,222.4718908625441,280.2443936030546,374.199110421221,1.7434220341241793,1.700962886317822,2.042230966445649,5.062,-473.98900000000003,5.68
349,smt_003,beauce_5_sa_049,2,2,75.88477620504767,-15.448129142591586,1.8812796807651733,24.92716475069024,3.585185753862261,201.67872663884648,246.2140390898973,294.0,367.4321701849467,1.0699879542246988,9.16190686058846,10.0,2.841,-420.224,5.963333333333334
350,smt_003,beauce_5_sa_050,0,0,69.0771362771272,-24.0,1.092084803119466,13.0,13.0,158.0,237.5,294.0,350.6569923456708,10.0,10.0,10.0,3.061,-448.863,5.337777777777777
351,smt_003,beauce_5_sa_051,3,1,96.85458324516648,-35.94918766425264,3.0190010925499267,20.28712245747876,13.0,187.0232661006755,251.44055338456783,300.03457743211277,336.88831445879833,56.11158299427278,14.550759757537543,57.42185732311283,8.647,-143.816,8.946666666666667
352,smt_003,beauce_5_sa_052,1,1,95.4351250593188,-43.45379541946124,3.3936828376313617,9.291107718828366,13.0,143.18870683522024,237.5,294.0,338.726752683724,2.0951005993263525,10.0,10.0,2.376,-430.555,5.542222222222222
