sortie,order,variables,global_var_pct,intrinsic_var_pct,p_A,trace,adj_trace
N_lixi,4,n_ferti & Date_F1 & Dose_F1 & Dose_F2,0.4666041276898801,0.4618046557553872,0.496,0.0006845569169215981,0.002782570601488896
dCorg,1,Date_Recolte,62.13401726510892,50.440274437996656,1.0,0.03369326952191376,0.03369326918498107
dCorg,1,nb_prepa,2.894834495530607,9.40008378364751,0.5,0.001569775191954587,0.006279100516654328
dCorg,1,n_ferti,8.722887122848933,7.081222810539868,1.0,0.004730139781327476,0.004730139734026079
dCorg,1,Date_Semis,6.362761957315582,5.165277788836371,1.0,0.0034503201783477604,0.0034503201438445593
dCorg,1,has_prepa,3.408881246101794,2.7673231693079248,1.0,0.0018485261318778763,0.0018485261133926153
dCorg,1,Dose_F1,1.897466025414782,2.7530799046256127,0.748,0.0010289345034652272,0.001839011848128179
dCorg,3,has_prepa & nb_prepa & Date_Recolte,0.8256587317278741,2.681072533481595,0.5,0.0004477280466597234,0.001790912115002409
dCorg,1,Delta_PREPA_Semis,0.8140273548442458,2.643303218035723,0.5,0.00044142072687740645,0.0017656828368823123
dCorg,1,Dose_F2,0.7431257772693749,2.452149628439018,0.496,0.00040297309274864583,0.001637995400171907
dCorg,2,nb_prepa & Date_Recolte,0.6397159400188415,2.0772805641207186,0.5,0.0003468972799964579,0.0013875890644822692
dCorg,1,Date_F1,1.159752763979217,1.6827136750167813,0.748,0.0006288964431321112,0.0011240249075821836
dCorg,2,n_ferti & Date_Recolte,1.9326370313436214,1.568910985331515,1.0,0.0010480066033273854,0.0010480065928473196
dCorg,2,Date_Semis & Date_Recolte,1.4071055211789434,1.142285526922493,1.0,0.0007630278494398581,0.0007630278418095797
dCorg,3,n_ferti & Date_Recolte & Dose_F1,0.6591383716739062,0.9563599986072999,0.748,0.0003574294369907961,0.0006388326635778644
dCorg,3,n_ferti & Date_Recolte & Dose_F2,0.21692393437097549,0.7158006912664244,0.496,0.00011763083908336755,0.0004781430244453097
dCorg,3,has_prepa & Delta_PREPA_Semis & Date_Recolte,0.21644013703570827,0.7028227090084068,0.5,0.00011736849142376602,0.0004694739469161062
dCorg,2,n_ferti & Dose_F1,0.47496280455819695,0.6891351598181863,0.748,0.00025755697911150226,0.000460330890410423
dCorg,2,has_prepa & Date_Recolte,0.7432636607397214,0.6033799950120748,1.0,0.00040304786249851057,0.00040304785846803203
dCorg,3,nb_prepa & Delta_PREPA_Semis & Date_Recolte,0.184672608603329,0.5996674407798395,0.5,0.00010014198741469298,0.0004005679336360546
dCorg,2,Date_Recolte & Dose_F2,0.1732185915742132,0.5715827898316423,0.496,9.39308441495801e-05,0.0003818078512434216
dCorg,2,Delta_PREPA_Semis & Date_Recolte,0.17563105027251658,0.5703077637497388,0.5,9.523904253607113e-05,0.0003809561549060383
dCorg,3,n_ferti & Date_F1 & Date_Recolte,0.38700200974298515,0.5615106894154975,0.748,0.00020985868279138118,0.0003750798547295151
dCorg,2,Date_Recolte & Dose_F1,0.3821036913216032,0.5544035993112538,0.748,0.0002072024830148305,0.00037033243607106675
dCorg,2,n_ferti & nb_prepa,0.14810488077987724,0.4809250028792372,0.5,8.031249040820508e-05,0.0003212499487828224
dCorg,2,n_ferti & Date_F1,0.2894886829650333,0.4200262165502272,0.748,0.00015698035710563858,0.0002805705666088766
dCorg,3,n_ferti & has_prepa & nb_prepa,0.11782813469948716,0.38261059136752756,0.5,6.389438948966083e-05,0.00025557754773554144
dCorg,2,nb_prepa & Date_Semis,0.1036247049488133,0.33648932610085336,0.5,5.6192328560892326e-05,0.0002247693052527971
rdt,1,Dose_F1,23.665293513884073,28.09813820896839,0.748,0.04373949819393944,0.07817548652410809
rdt,1,n_ferti,40.05798734208221,26.610802592149692,1.0,0.07403737730841638,0.07403737656804261
rdt,1,Date_F1,14.243408788633353,16.91140101326256,0.748,0.02632545219100981,0.047051409320569136
rdt,2,n_ferti & Dose_F1,7.4767870712153695,8.87729519867499,0.748,0.013819009445457768,0.024698678112168967
rdt,1,Dose_F2,2.8186863742901807,7.611184296701475,0.496,0.005209651319355744,0.021176066221689167
rdt,2,n_ferti & Date_F1,4.584638837098015,5.44340663289925,0.748,0.00847358187285805,0.015144809905576994
rdt,3,n_ferti & Date_F1 & Dose_F1,2.7788067676419748,3.299316637142614,0.748,0.005135943635065208,0.009179458133043958
rdt,2,Date_F1 & Dose_F1,2.651745858757813,3.14845542020103,0.748,0.00490110266884611,0.008759727510882557
