point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,climat,N_lixi,dCorg,rdt
962,smt_010,clim1_briançon_p02,3,0,59.12111013345995,-24.0,1.8568300144390664,13.0,13.0,153.84017695476703,229.04439700759264,320.0237644271395,329.35539051547323,20.271767206649656,10.3301397652376,1.1327997665788592,montagne,10.325999999999999,-287.58,5.4688888888888885
963,smt_010,clim1_briançon_p03,3,2,80.51709688117083,-39.0184874851392,1.715104394922156,3.5071984722436182,7.78478103153487,108.52975868823692,232.61747444623208,291.63951948142375,383.3025572126668,22.339044807568392,10.954972996056874,11.42139273619498,montagne,13.404,-222.27599999999998,6.066666666666666
964,smt_010,clim1_briançon_p04,0,2,101.3539585811622,-25.09820998532124,2.4389560924260563,11.403272110216678,10.17287311832029,158.0,237.5,294.0,372.69568294391865,10.0,10.0,10.0,montagne,4.296,-260.931,3.743333333333333
965,smt_010,clim1_briançon_p05,3,0,98.8849997820111,-24.0,3.1495612769084147,13.0,13.0,165.7288200661079,263.4084641346692,295.9419312384654,380.4518725223193,19.7664175180937,7.57016317660098,1.2176425812181937,montagne,8.745999999999999,-201.875,5.056666666666667
966,smt_010,clim1_briançon_p06,3,0,91.20980853797856,-24.0,2.0144787627235807,13.0,13.0,136.20285833617015,247.7805044470387,271.4412215654641,379.2066612413024,18.555733676635995,5.6361653033173456,4.630431167444739,montagne,9.686,-197.082,4.986666666666666
967,smt_010,clim1_briançon_p07,3,0,84.40612933736529,-24.0,1.2918957302076983,13.0,13.0,159.74573131750847,228.98207302080755,273.783376624006,369.1873532877049,28.23003111766539,2.0928916040202705,8.742976651274148,montagne,12.338,-237.796,5.667777777777777
968,smt_010,clim1_briançon_p08,3,1,58.75624267062157,-11.945322469382845,2.2332273726550267,9.683638606664926,13.0,164.81458107810082,260.5934865112373,269.73936978866175,323.4629788807876,5.324423521709929,33.7654906750291,1.45091392146911,montagne,4.776,-139.1,5.62
969,smt_010,clim1_briançon_p09,3,2,95.3710302139169,-30.683501950495764,3.1151773090272186,5.742203163877932,7.909422401559695,127.16015338740128,250.96538492996095,274.787736746709,366.1864294792369,31.42944139025005,17.05529327232478,11.216546644283394,montagne,17.128999999999998,-189.574,6.374444444444444
970,smt_010,clim1_briançon_p10,1,0,78.50921587169897,-24.0,2.839200011295489,13.0,13.0,176.91913597843487,237.5,294.0,362.1127269916992,4.120927616816812,10.0,10.0,montagne,5.072,-297.531,4.113333333333333
971,smt_010,clim1_briançon_p11,0,0,59.1475070825223,-24.0,3.9285593398087864,13.0,13.0,158.0,237.5,294.0,364.6249371685411,10.0,10.0,10.0,montagne,1.721,-292.443,4.127777777777777
972,smt_010,clim2_nancy_p00,2,2,90.39133184025226,-29.415183788998704,2.3896684490102063,11.091243039793245,21.43242513764197,129.09093113744902,241.77278459656077,294.0,350.9487686468897,1.3074630651674723,80.92648062872641,10.0,semi_continental,6.893000000000001,-205.24900000000002,8.350000000000001
973,smt_010,clim2_nancy_p01,3,0,73.66501173250278,-24.0,3.9992950484567946,13.0,13.0,175.78439053980992,244.38603455243037,288.07940952565093,345.15627433020217,9.46800589074138,2.2579424059806192,60.52797239464023,semi_continental,15.093,-265.171,7.694444444444445
974,smt_010,clim2_nancy_p02,3,2,75.69340436110399,-25.463779202424973,2.093945267635704,1.7758835724839637,6.9046275641310935,194.36002567890935,252.33153712058163,305.9438348536206,338.80807510509817,6.300102734712105,5.15903760340178,6.5617059919603955,semi_continental,4.701,-393.857,6.207777777777777
975,smt_010,clim2_nancy_p03,0,2,85.89166287388345,-18.774298292234743,3.975300394572978,6.940273328833062,12.740186229411105,158.0,237.5,294.0,323.50713132769744,10.0,10.0,10.0,semi_continental,7.631,-422.226,4.655555555555555
976,smt_010,clim2_nancy_p04,2,0,99.55323165419526,-24.0,2.4456179859935774,13.0,13.0,115.96570871226012,243.54226735926952,294.0,360.1438354369132,16.177225603455433,2.734738847776035,10.0,semi_continental,11.329,-423.11199999999997,5.7844444444444445
