sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,Jours_av_PREPA,Jours_F2_F3,0.1513001218098431,0.3289289804242017,0.17762885861435862,60,16
N_lixi,Jours_F2_F3,Dose_F1_2,0.14914152899933297,0.2580540257741669,0.10891249677483394,60,15
N_lixi,prepa_2,Jours_op_recolte,0.14837480750123078,0.1895407345325525,0.041165927031321714,60,12
N_lixi,nb_f3,type_f3_1,0.14540130400906903,0.18123083087634984,0.0358295268672808,60,9
N_lixi,prepa_2,Dose_F2_1,0.14442383688968907,0.20923069357146595,0.06480685668177688,60,12
N_lixi,Jours_F1_F2,Dose_F1_1,0.14384887573279448,0.25337722511366234,0.10952834938086786,60,16
N_lixi,prepa_1,type_f1_1,0.1417184646663271,0.18832612455134534,0.04660765988501825,60,9
N_lixi,type_f1_1,nb_f2,0.14142113866000094,0.17912236592652875,0.037701227266527804,60,9
N_lixi,nb_f2,Jours_semis_F1,0.14138642294022796,0.2488988907442028,0.10751246780397483,60,12
N_lixi,type_f1_1,Jours_op_recolte,0.14129839493720464,0.175163202106434,0.03386480716922935,60,12
N_lixi,Dose_F1_1,Dose_F3_1,0.1403176561057754,0.2130688447934871,0.07275118868771169,60,16
N_lixi,Jours_op_recolte,Dose_F2_2,0.13955865935545375,0.22865789395417857,0.08909923459872482,60,16
N_lixi,n_ferti,Dose_F1_2,0.139345078163283,0.1790913561992057,0.03974627803592268,60,12
N_lixi,Jours_F2_F3,Dose_F3_2,0.1370818469749291,0.26927014072696753,0.13218829375203844,60,16
N_lixi,prepa_2,type_f1_1,0.1346626006786078,0.1787468430919651,0.04408424241335729,60,9
N_lixi,type_f3_2,Dose_F2_1,0.13450042657652928,0.17559895191901398,0.041098525342484704,60,12
N_lixi,prepa_2,Jours_semis_F1,0.13288968127861955,0.22746802971345048,0.09457834843483093,60,12
N_lixi,nb_f2,Jours_F2_F3,0.13222191789338167,0.26808197509153975,0.13586005719815808,60,12
N_lixi,type_f1_1,Dose_F1_1,0.1321417125972142,0.18577511832665472,0.05363340572944053,60,12
N_lixi,Jours_semis_F1,Dose_F3_2,0.1320781317834312,0.210032366000366,0.07795423421693481,60,16
N_lixi,prepa_2,Dose_F1_2,0.13188025798808534,0.1775089405131659,0.045628682525080566,60,12
N_lixi,has_prepa,nb_f2,0.13002896726515,0.16180816266285125,0.03177919539770124,60,9
N_lixi,prepa_1,type_f2_1,0.12986947917427794,0.18883915336205315,0.05896967418777521,60,9
N_lixi,has_prepa,nb_f3,0.1297304660966926,0.14534529346821567,0.015614827371523088,60,9
N_lixi,prepa_2,Dose_F2_2,0.1296363090028495,0.22418846301144535,0.09455215400859585,60,12
N_lixi,type_f3_2,Jours_semis_F1,0.12929877532720313,0.2148531215683206,0.08555434624111746,60,12
N_lixi,type_f1_2,nb_f3,0.1279712720729621,0.1412908300754755,0.013319558002513388,60,9
N_lixi,nb_f1,Jours_av_PREPA,0.12708757684471694,0.19561787612267534,0.0685302992779584,60,12
N_lixi,nb_f2,Jours_F1_F2,0.12631927977357016,0.21414377484441016,0.08782449507084,60,12
N_lixi,Jours_semis_F1,Jours_F1_F2,0.12512950192073502,0.26310483312302824,0.13797533120229322,60,16
N_lixi,type_f2_1,Jours_op_recolte,0.1250586250397463,0.1755160994690197,0.0504574744292734,60,12
N_lixi,Jours_F2_F3,Dose_F2_1,0.12503742417337316,0.24335933109591856,0.1183219069225454,60,16
N_lixi,nb_prepa,Dose_F2_2,0.12479230002582775,0.20191094753874628,0.07711864751291853,60,12
N_lixi,Jours_semis_F1,Dose_F1_2,0.12409225973980109,0.22782744023066193,0.10373518049086083,60,16
N_lixi,n_ferti,nb_prepa,0.12241359726628598,0.14231900560383748,0.0199054083375515,60,9
N_lixi,nb_f2,Dose_F2_1,0.12197747976629691,0.17814145834319894,0.05616397857690203,60,12
N_lixi,Jours_F1_F2,Dose_F3_2,0.12179732894331696,0.2318617825809305,0.11006445363761352,60,16
N_lixi,Jours_semis_F1,Jours_F2_F3,0.12166978135152662,0.2973426738337507,0.17567289248222406,60,16
N_lixi,type_f1_1,Dose_F2_2,0.12086123182033026,0.20200680942681992,0.08114557760648966,60,12
N_lixi,type_f3_1,Jours_av_PREPA,0.12074151697888935,0.20359032669085164,0.08284880971196229,60,12
N_lixi,type_f1_1,Jours_F2_F3,0.1202946648187675,0.22587717871815682,0.10558251389938933,60,12
N_lixi,type_f3_2,Dose_F3_1,0.11984508429056195,0.17242791862238138,0.05258283433181943,60,12
N_lixi,type_f2_1,Dose_F2_2,0.11794624531634346,0.21570018020326776,0.0977539348869243,60,12
N_lixi,nb_prepa,Jours_F2_F3,0.11771665596053538,0.24605993563011197,0.1283432796695766,60,12
N_lixi,Jours_F2_F3,Dose_F3_1,0.11739874112691473,0.29055168801669284,0.17315294688977811,60,16
N_lixi,nb_f3,Dose_F2_2,0.11604261763116719,0.19038053420097478,0.0743379165698076,60,12
N_lixi,type_f3_1,Jours_op_recolte,0.11594220187941584,0.1674369510515945,0.05149474917217867,60,12
N_lixi,nb_f1,Jours_semis_F1,0.11485820611974507,0.21384054499473582,0.09898233887499075,60,12
