annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;303;365;beauce_5_sa_031;BTH;BTH;429.55;1.71;25.0;2.91;0.0;0.9;0.0;458.36;0.07
2019;213;291;beauce_5_sa_032;solnu;;847.36;1.71;0.0;5.81;0.0;0.0;0.0;853.17;0.07
2019;292;365;beauce_5_sa_032;BTH;BTH;509.72;1.71;22.63;3.44;0.0;0.86;0.0;536.65;0.07
2019;213;288;beauce_5_sa_033;solnu;;835.97;1.71;0.0;5.71;0.0;0.0;0.0;841.69;0.07
2019;289;365;beauce_5_sa_033;BTH;BTH;522.78;1.71;20.64;3.55;0.0;0.93;0.0;547.89;0.07
2019;213;289;beauce_5_sa_034;solnu;;838.59;1.71;0.0;5.73;0.0;0.0;0.0;844.31;0.07
2019;290;365;beauce_5_sa_034;BTH;BTH;517.39;1.71;21.45;3.52;0.0;0.85;0.0;543.2;0.07
2019;213;264;beauce_5_sa_035;solnu;;682.62;1.71;0.0;4.68;0.0;0.0;0.0;687.3;0.07
2019;265;365;beauce_5_sa_035;BTH;BTH;675.76;1.71;4.41;4.58;0.0;1.12;0.0;685.87;0.07
2019;213;288;beauce_5_sa_036;solnu;;835.97;1.71;0.0;5.71;0.0;0.0;0.0;841.69;0.07
2019;289;365;beauce_5_sa_036;BTH;BTH;522.78;1.71;20.64;3.55;0.0;0.93;0.0;547.89;0.07
2019;213;295;beauce_5_sa_037;solnu;;878.05;1.71;0.0;6.01;0.0;0.0;0.0;884.06;0.07
2019;296;365;beauce_5_sa_037;BTH;BTH;479.12;1.71;24.17;3.24;0.0;0.86;0.0;507.39;0.07
2019;213;266;beauce_5_sa_038;solnu;;697.17;1.71;0.0;4.79;0.0;0.0;0.0;701.96;0.07
2019;267;365;beauce_5_sa_038;BTH;BTH;661.48;1.71;6.17;4.47;0.0;1.13;0.0;673.24;0.07
2019;213;274;beauce_5_sa_039;solnu;;767.27;1.71;0.0;5.26;0.0;0.0;0.0;772.53;0.07
2019;275;365;beauce_5_sa_039;BTH;BTH;590.99;1.71;14.16;4.0;0.0;0.97;0.0;610.11;0.07
2019;213;271;beauce_5_sa_040;solnu;;744.57;1.71;0.0;5.12;0.0;0.0;0.0;749.68;0.07
2019;272;365;beauce_5_sa_040;BTH;BTH;614.35;1.71;10.98;4.14;0.0;1.02;0.0;630.49;0.07
2019;213;299;beauce_5_sa_041;solnu;;908.91;1.71;0.0;6.21;0.0;0.0;0.0;915.12;0.07
2019;300;365;beauce_5_sa_041;BTH;BTH;449.76;1.71;24.83;3.05;0.0;0.93;0.0;478.56;0.07
2019;213;284;beauce_5_sa_042;solnu;;818.91;1.71;0.0;5.59;0.0;0.0;0.0;824.5;0.07
2019;285;365;beauce_5_sa_042;BTH;BTH;539.97;1.71;18.81;3.67;0.0;0.95;0.0;563.4;0.07
2019;213;293;beauce_5_sa_043;solnu;;865.27;1.71;0.0;5.93;0.0;0.0;0.0;871.2;0.07
2019;294;365;beauce_5_sa_043;BTH;BTH;493.41;1.71;23.84;3.33;0.0;0.93;0.0;521.51;0.07
2019;213;283;beauce_5_sa_044;solnu;;811.26;1.71;0.0;5.56;0.0;0.0;0.0;816.82;0.07
2019;284;365;beauce_5_sa_044;BTH;BTH;547.06;1.71;27.1;3.69;3.9;1.07;252.49;835.31;0.07
2019;213;288;beauce_5_sa_045;solnu;;835.97;1.71;0.0;5.71;0.0;0.0;0.0;841.69;0.07
2019;289;365;beauce_5_sa_045;BTH;BTH;522.78;1.71;20.64;3.55;0.96;0.93;61.93;610.78;0.07
2019;213;262;beauce_5_sa_046;solnu;;662.21;1.71;0.0;4.55;0.0;0.0;0.0;666.76;0.07
2019;263;365;beauce_5_sa_046;BTH;BTH;694.99;1.71;3.73;4.7;0.0;1.11;0.0;704.52;0.07
2019;213;281;beauce_5_sa_047;solnu;;805.47;1.71;0.0;5.49;0.0;0.0;0.0;810.96;0.07
2019;282;365;beauce_5_sa_047;BTH;BTH;553.36;1.71;17.35;3.77;0.0;0.95;0.0;575.43;0.07
2019;213;293;beauce_5_sa_048;solnu;;864.51;1.71;0.0;5.93;0.0;0.0;0.0;870.44;0.07
2019;294;365;beauce_5_sa_048;BTH;BTH;492.76;1.71;23.81;3.32;0.0;0.85;0.0;520.74;0.07
2019;213;305;beauce_5_sa_049;solnu;;948.08;1.71;0.0;6.48;0.0;0.0;0.0;954.56;0.07
2019;306;365;beauce_5_sa_049;BTH;BTH;410.57;1.71;25.11;2.78;0.0;0.93;0.0;439.38;0.07
2019;213;297;beauce_5_sa_050;solnu;;893.18;1.71;0.0;6.13;0.0;0.0;0.0;899.32;0.07
2019;298;365;beauce_5_sa_050;BTH;BTH;465.52;1.71;24.55;3.12;0.0;0.92;0.0;494.12;0.07
2019;213;290;beauce_5_sa_051;solnu;;843.55;1.71;0.0;5.76;0.0;0.0;0.0;849.31;0.07
2019;291;365;beauce_5_sa_051;BTH;BTH;513.85;1.71;25.17;3.49;2.04;0.89;132.2;677.64;0.07
